image_name,label,aesthetic_score,face_box,person_box
Accountant_000000_2db42d.png,Accountant,3.843,"[243, 98, 271, 140]","[174, 87, 353, 444]"
Accountant_000002_68249a.png,Accountant,3.844,"[240, 12, 276, 64]","[181, 5, 337, 488]"
Accountant_000003_c154a6.png,Accountant,4.193,"[171, 66, 266, 197]","[50, 30, 398, 511]"
Accountant_000004_a7f36e.png,Accountant,3.653,"[408, 101, 436, 139]","[381, 91, 466, 444]"
Accountant_000006_47dac5.png,Accountant,4.674,"[228, 59, 269, 112]","[172, 48, 316, 497]"
Accountant_000007_a6892f.png,Accountant,3.54,"[245, 0, 347, 127]","[78, 0, 478, 512]"
Accountant_000009_b96569.png,Accountant,3.844,"[243, 79, 335, 209]","[143, 37, 364, 511]"
Accountant_000011_655add.png,Accountant,3.987,"[219, 55, 314, 182]","[109, 26, 455, 510]"
Accountant_000012_1a3b63.png,Accountant,3.999,"[345, 118, 374, 160]","[294, 107, 427, 507]"
Accountant_000014_2c7308.png,Accountant,3.942,"[235, 38, 271, 88]","[190, 25, 326, 485]"
Accountant_000016_bf43c4.png,Accountant,3.755,"[203, 63, 240, 111]","[134, 53, 328, 499]"
Accountant_000017_7804d7.png,Accountant,5.093,"[242, 94, 276, 137]","[186, 81, 309, 479]"
Accountant_000019_314921.png,Accountant,4.204,"[220, 50, 307, 166]","[115, 15, 430, 511]"
Accountant_000020_caa553.png,Accountant,3.634,"[242, 129, 328, 249]","[102, 102, 455, 511]"
Accountant_000021_f089cd.png,Accountant,4.17,"[221, 57, 307, 173]","[138, 25, 427, 511]"
Accountant_000022_95ae07.png,Accountant,3.97,"[164, 81, 257, 206]","[70, 47, 368, 511]"
Accountant_000023_b87386.png,Accountant,3.967,"[339, 124, 428, 245]","[239, 81, 511, 511]"
Accountant_000024_2378f7.png,Accountant,4.284,"[125, 100, 151, 132]","[87, 93, 189, 487]"
Accountant_000028_d13b4a.png,Accountant,3.151,"[199, 0, 299, 145]","[47, 0, 431, 511]"
Accountant_000029_b974a2.png,Accountant,5.09,"[243, 151, 267, 185]","[206, 144, 312, 470]"
Accountant_000030_ad9b88.png,Accountant,4.179,"[262, 58, 303, 113]","[200, 45, 347, 511]"
Accountant_000031_29cc04.png,Accountant,4.622,"[240, 56, 276, 106]","[193, 38, 326, 471]"
Accountant_000033_d01c73.png,Accountant,3.896,"[144, 87, 172, 129]","[72, 73, 178, 474]"
Accountant_000034_4a8d67.png,Accountant,3.818,"[250, 94, 284, 144]","[203, 89, 329, 498]"
Accountant_000036_04ad36.png,Accountant,3.682,"[225, 72, 314, 196]","[143, 26, 453, 511]"
Accountant_000037_f21387.png,Accountant,3.662,"[212, 52, 302, 175]","[85, 7, 387, 510]"
Accountant_000038_9eac91.png,Accountant,3.49,"[174, 0, 264, 83]","[66, 1, 436, 511]"
Accountant_000039_1cf944.png,Accountant,4.364,"[250, 126, 291, 180]","[177, 116, 357, 511]"
Accountant_000040_e0c235.png,Accountant,4.293,"[247, 78, 324, 199]","[147, 51, 473, 443]"
Accountant_000041_c547c2.png,Accountant,4.718,"[320, 44, 353, 93]","[289, 33, 406, 469]"
Accountant_000042_5217e6.png,Accountant,4.571,"[164, 33, 196, 79]","[119, 19, 246, 452]"
Accountant_000043_4962b1.png,Accountant,3.631,"[336, 95, 384, 163]","[277, 77, 457, 421]"
Accountant_000044_f275b5.png,Accountant,4.453,"[95, 64, 182, 185]","[0, 30, 310, 512]"
