conf,iou,imgsz,augment,agnostic_nms,mAP50,mAP50_95,precision,recall,time_sec
0.001,0.45,640,False,False,0.14056769958135998,0.11518864363990033,0.1849837930429677,0.26084613586888283,1835.94
0.001,0.5,640,False,False,0.14082764897127073,0.11550323155483926,0.18477703540498122,0.2624263263597547,1967.48
0.001,0.55,640,False,False,0.14076022549248013,0.11567251432022581,0.18480002416722674,0.26114817344591956,1982.42
0.001,0.6,640,False,False,0.14065225344400403,0.1158019593551702,0.1847998096427741,0.26064549088420125,1907.68
0.001,0.65,640,False,False,0.14047273175617514,0.11593405588248773,0.1846370251248921,0.26064969804478855,1987.18
0.001,0.7,640,False,False,0.14029228798879462,0.11600400035946386,0.18470700537621493,0.2600004307872368,1946.47
0.001,0.75,640,False,False,0.13994016913523313,0.11596908091511225,0.18821996848261355,0.2592825392164783,1967.74
0.005,0.45,640,False,False,0.1407316026794673,0.11543568039167763,0.18495798512324294,0.2607912849392713,1698.26
0.005,0.5,640,False,False,0.14096474676638335,0.11571195797372746,0.18484236267157905,0.2617193487393958,1631.2
0.005,0.55,640,False,False,0.14094581091804673,0.11587925697178117,0.18480002416722674,0.26114817344591956,1719.88
0.005,0.6,640,False,False,0.14082776972312194,0.11599424218352233,0.1847998096427741,0.26064549088420125,1683.32
0.005,0.65,640,False,False,0.14063832183785233,0.11611257628602392,0.1846370251248921,0.26064969804478855,1716.59
0.005,0.7,640,False,False,0.14044596742944265,0.11616831232854731,0.18470700537621493,0.2600004307872368,1688.81
0.005,0.75,640,False,False,0.14008261157375324,0.11611949860534228,0.18821996848261355,0.2592825392164783,1695.21
0.01,0.45,640,False,False,0.1410856446499471,0.11582268141299609,0.1849149579673281,0.26164939458753916,1715.17
0.01,0.5,640,False,False,0.14124673274616498,0.11606619576750789,0.18484236267157905,0.2617193487393958,1675.41
0.01,0.55,640,False,False,0.1412206867333779,0.11621739163060285,0.18480002416722674,0.26114817344591956,1591.59
0.01,0.6,640,False,False,0.1410952807638905,0.11631674521760516,0.1847998096427741,0.26064549088420125,1666.28
0.01,0.65,640,False,False,0.14089933049180645,0.11642075092116598,0.1846370251248921,0.26064969804478855,1661.75
0.01,0.7,640,False,False,0.14070017132860388,0.11646208154129528,0.18470700537621493,0.2600004307872368,1684.72
0.01,0.75,640,False,False,0.14033375804272452,0.1164014791230464,0.18821996848261355,0.2592825392164783,1669.91
0.02,0.45,640,False,False,0.14149653524990405,0.11651448355184423,0.18495798512324294,0.2607912849392713,1647.12
0.02,0.5,640,False,False,0.14170221942510855,0.11674795968528286,0.18484253395511457,0.2617194179173182,1612.06
0.02,0.55,640,False,False,0.14166765754758945,0.11687011989524607,0.18480002416722674,0.26114817344591956,1613.21
0.02,0.6,640,False,False,0.14154009538439843,0.11694797534196001,0.1847998096427741,0.26064549088420125,1647.79
0.02,0.65,640,False,False,0.14134266458041436,0.11702819404881235,0.1846370251248921,0.26064969804478855,1648.08
0.02,0.7,640,False,False,0.14114053864418785,0.11704929966441421,0.18470700537621493,0.2600004307872368,1606.33
0.02,0.75,640,False,False,0.14077936830304938,0.11697205691103178,0.18821996848261355,0.2592825392164783,1654.94
0.05,0.45,640,False,False,0.14262153102741454,0.1183616005840015,0.18495798512324294,0.2607912849392713,1635.45
0.05,0.5,640,False,False,0.14278824880919397,0.11853762006623131,0.18484236267157905,0.2617193487393958,1612.53
0.05,0.55,640,False,False,0.14275098908843992,0.11862183075698629,0.18480002416722674,0.26114817344591956,1664.49
0.05,0.6,640,False,False,0.14262709673970328,0.11865813574002297,0.1847998096427741,0.26064549088420125,1635.21
0.05,0.65,640,False,False,0.14244981245543076,0.1187043152473768,0.1846370251248921,0.26064969804478855,1657.54
0.05,0.7,640,False,False,0.14226111644665634,0.11870236611775835,0.18470700537621493,0.2600004307872368,1662.92
0.05,0.75,640,False,False,0.14192283304783646,0.11860513759011933,0.18821996848261355,0.2592825392164783,1637.9
0.1,0.45,640,False,False,0.14421469913797344,0.1209798511389376,0.18495798512324294,0.2607912849392713,1651.5
0.1,0.5,640,False,False,0.14433473112593714,0.12110732575437654,0.18484253395511457,0.2617194179173182,1571.33
0.1,0.55,640,False,False,0.1442942267033468,0.12115522851270837,0.18480002416722674,0.26114817344591956,1595.54
0.1,0.6,640,False,False,0.14419767910679623,0.12116395058303624,0.1847998096427741,0.26064549088420125,1594.62
0.1,0.65,640,False,False,0.14405052335978327,0.12120215339964675,0.1846370251248921,0.26064969804478855,1636.86
0.1,0.7,640,False,False,0.14391330572363112,0.12119215112906759,0.18470700537621493,0.2600004307872368,1637.63
0.1,0.75,640,False,False,0.14361890022675863,0.12108230009113131,0.18821996848261355,0.2592825392164783,1637.78
