REF_AREA,REF_AREA_LABEL,job_title_original,SEX_F,SEX_M,male_count,female_count,total,male_pct,female_pct
AFG,Afghanistan,Accountant,0.0,9.108,9.108,0.0,9.108,1.0,0.0
AFG,Afghanistan,Actor,0.0,38.509,38.509,0.0,38.509,1.0,0.0
AFG,Afghanistan,Actuary,0.0,14.915,14.915,0.0,14.915,1.0,0.0
AFG,Afghanistan,Administrative Assistant,0.0,63.916,63.916,0.0,63.916,1.0,0.0
AFG,Afghanistan,Administrator,0.0,0.0,0.0,0.0,0.0,,
AFG,Afghanistan,Air Traffic Controller,0.0,2.829,2.829,0.0,2.829,1.0,0.0
AFG,Afghanistan,Animal Trainer,0.0,85.36,85.36,0.0,85.36,1.0,0.0
AFG,Afghanistan,Anthropologist,0.0,38.509,38.509,0.0,38.509,1.0,0.0
AFG,Afghanistan,Appraiser,0.0,63.916,63.916,0.0,63.916,1.0,0.0
AFG,Afghanistan,Archaeologist,0.0,38.509,38.509,0.0,38.509,1.0,0.0
AFG,Afghanistan,Architect,0.0,14.915,14.915,0.0,14.915,1.0,0.0
AFG,Afghanistan,Archivist,0.0,38.509,38.509,0.0,38.509,1.0,0.0
AFG,Afghanistan,Art Director,0.0,38.509,38.509,0.0,38.509,1.0,0.0
AFG,Afghanistan,Artist,0.0,38.509,38.509,0.0,38.509,1.0,0.0
AFG,Afghanistan,Astronaut,0.0,2.829,2.829,0.0,2.829,1.0,0.0
AFG,Afghanistan,Astronomer,0.0,14.915,14.915,0.0,14.915,1.0,0.0
AFG,Afghanistan,Athlete,0.0,1.862,1.862,0.0,1.862,1.0,0.0
AFG,Afghanistan,Audio Technician,0.0,4.557,4.557,0.0,4.557,1.0,0.0
AFG,Afghanistan,Auditor,0.0,9.108,9.108,0.0,9.108,1.0,0.0
AFG,Afghanistan,Automotive Designer,0.0,14.915,14.915,0.0,14.915,1.0,0.0
AFG,Afghanistan,Baker,5.13,39.265,39.265,5.13,44.395,0.8844464466719225,0.11555355332807747
AFG,Afghanistan,Banker,5.13,39.265,39.265,5.13,44.395,0.8844464466719225,0.11555355332807747
AFG,Afghanistan,Bankruptcy Specialist,13.15,33.512,33.512,13.15,46.662,0.7181861043247182,0.2818138956752818
AFG,Afghanistan,Barber,0.0,85.36,85.36,0.0,85.36,1.0,0.0
AFG,Afghanistan,Barista,0.0,56.207,56.207,0.0,56.207,1.0,0.0
AFG,Afghanistan,Bartender,0.0,85.36,85.36,0.0,85.36,1.0,0.0
AFG,Afghanistan,Basketball player,0.0,1.862,1.862,0.0,1.862,1.0,0.0
AFG,Afghanistan,Biologist,0.0,14.915,14.915,0.0,14.915,1.0,0.0
AFG,Afghanistan,Biomedical Engineer,0.0,14.915,14.915,0.0,14.915,1.0,0.0
AFG,Afghanistan,Blacksmith,0.0,16.94,16.94,0.0,16.94,1.0,0.0
AFG,Afghanistan,Bodyguard,0.0,0.0,0.0,0.0,0.0,,
AFG,Afghanistan,Bounty Hunter,0.0,1.862,1.862,0.0,1.862,1.0,0.0
AFG,Afghanistan,Boxer,0.0,1.862,1.862,0.0,1.862,1.0,0.0
AFG,Afghanistan,Brand Manager,0.0,8.465,8.465,0.0,8.465,1.0,0.0
AFG,Afghanistan,Brewer,0.0,0.0,0.0,0.0,0.0,,
AFG,Afghanistan,Bricklayer,0.0,59.88,59.88,0.0,59.88,1.0,0.0
AFG,Afghanistan,Broker,0.0,7.717,7.717,0.0,7.717,1.0,0.0
AFG,Afghanistan,Builder,0.0,85.36,85.36,0.0,85.36,1.0,0.0
AFG,Afghanistan,Butcher,5.13,39.265,39.265,5.13,44.395,0.8844464466719225,0.11555355332807747
AFG,Afghanistan,CEO,0.0,0.0,0.0,0.0,0.0,,
AFG,Afghanistan,Carer,0.0,85.36,85.36,0.0,85.36,1.0,0.0
AFG,Afghanistan,Carpenter,0.0,59.88,59.88,0.0,59.88,1.0,0.0
AFG,Afghanistan,Cartographer,0.0,14.915,14.915,0.0,14.915,1.0,0.0
AFG,Afghanistan,Cashier,0.0,7.717,7.717,0.0,7.717,1.0,0.0
