race,mst_label,count,pct
Black,6,7399,59.35
Black,5,2797,22.44
Black,7,1608,12.9
Black,4,458,3.67
Black,3,104,0.83
Black,2,63,0.51
Black,1,29,0.23
Black,8,9,0.07
East Asian,5,4371,34.53
East Asian,4,3848,30.39
East Asian,3,2035,16.07
East Asian,2,1198,9.46
East Asian,6,833,6.58
East Asian,1,366,2.89
East Asian,7,9,0.07
Indian,5,6098,48.32
Indian,6,4167,33.02
Indian,4,1529,12.12
Indian,3,433,3.43
Indian,2,186,1.47
Indian,7,145,1.15
Indian,1,62,0.49
Latino_Hispanic,5,6361,46.64
Latino_Hispanic,4,3229,23.68
Latino_Hispanic,6,1969,14.44
Latino_Hispanic,3,1213,8.89
Latino_Hispanic,2,635,4.66
Latino_Hispanic,1,210,1.54
Latino_Hispanic,7,21,0.15
Middle Eastern,5,3613,39.96
Middle Eastern,4,2769,30.63
Middle Eastern,3,1139,12.6
Middle Eastern,6,663,7.33
Middle Eastern,2,613,6.78
Middle Eastern,1,237,2.62
Middle Eastern,7,7,0.08
Southeast Asian,5,5738,50.48
Southeast Asian,6,2285,20.1
Southeast Asian,4,2148,18.9
Southeast Asian,3,683,6.01
Southeast Asian,2,364,3.2
Southeast Asian,1,114,1.0
Southeast Asian,7,34,0.3
White,4,4400,27.17
White,5,4117,25.42
White,3,3077,19.0
White,2,2351,14.52
White,1,1574,9.72
White,6,674,4.16
White,7,4,0.02
