REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,OCU,OCU_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_TOTAL,Total,2018,20.39
AUT,Austria,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_TOTAL,Total,2018,20.39
AUT,Austria,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_1,1. Managers,2018,26.54
AUT,Austria,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_2,2. Professionals,2018,17.07
AUT,Austria,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_3,3. Technicians and associate professionals,2018,17.71
AUT,Austria,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_4,4. Clerical support workers,2018,13.9
AUT,Austria,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_5,5. Service and sales workers,2018,8.74
AUT,Austria,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_7,7. Craft and related trades workers,2018,27.31
AUT,Austria,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2018,18.1
AUT,Austria,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_9,9. Elementary occupations,2018,17.97
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_TOTAL,Total,2024,13.327
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,15.232
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_L2,Skill level 2 ~ medium,2024,9.409
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_L1,Skill level 1 ~ low,2024,10.631
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_X,Not elsewhere classified,2024,24.618
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_TOTAL,Total,2024,13.327
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_1,1. Managers,2024,24.642
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_2,2. Professionals,2024,9.694
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_3,3. Technicians and associate professionals,2024,14.492
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_4,4. Clerical support workers,2024,7.197
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_5,5. Service and sales workers,2024,16.391
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,42.335
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_7,7. Craft and related trades workers,2024,11.252
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,16.643
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_9,9. Elementary occupations,2024,10.631
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_X,X. Not elsewhere classified,2024,18.088
CHE,Switzerland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_0,0. Armed forces occupations,2023,51.065
ESP,Spain,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_TOTAL,Total,2021,5.88
ESP,Spain,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_TOTAL,Total,2021,5.88
ESP,Spain,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_1,1. Managers,2021,18.42
ESP,Spain,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_2,2. Professionals,2021,7.69
ESP,Spain,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_3,3. Technicians and associate professionals,2021,10.0
ESP,Spain,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_4,4. Clerical support workers,2021,13.33
ESP,Spain,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_5,5. Service and sales workers,2021,21.43
ESP,Spain,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_7,7. Craft and related trades workers,2021,21.43
ESP,Spain,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2021,7.14
ESP,Spain,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_9,9. Elementary occupations,2021,16.67
ESP,Spain,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2021,-15.38
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_TOTAL,Total,2020,11.56
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2020,13.855
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_L2,Skill level 2 ~ medium,2020,6.015
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_L1,Skill level 1 ~ low,2020,4.135
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_X,Not elsewhere classified,2020,20.373
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_TOTAL,Total,2020,11.56
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_1,1. Managers,2020,7.489
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_2,2. Professionals,2020,16.382
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_3,3. Technicians and associate professionals,2020,9.129
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_4,4. Clerical support workers,2020,9.053
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_5,5. Service and sales workers,2020,9.065
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2020,-18.001
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_7,7. Craft and related trades workers,2020,13.884
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2020,13.459
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_9,9. Elementary occupations,2020,4.135
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_0,0. Armed forces occupations,2020,18.243
FRA,France,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_ISCO08_X,X. Not elsewhere classified,2020,21.037
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_TOTAL,Total,2019,18.97
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,16.645
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_L2,Skill level 2 ~ medium,2024,15.558
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_L1,Skill level 1 ~ low,2024,10.14
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EAR_GGAP_RT,Gender pay gap,OCU_SKILL_X,Not elsewhere classified,2024,13.388
