REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,INS,INS_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,711.08
AUT,Austria,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,30.74
AUT,Austria,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,680.34
AUT,Austria,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,449.671
AUT,Austria,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,17.998
AUT,Austria,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,431.673
AUT,Austria,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,261.409
AUT,Austria,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,12.742
AUT,Austria,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,248.667
CHE,Switzerland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,980.048
CHE,Switzerland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,185.38
CHE,Switzerland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,794.668
CHE,Switzerland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,561.018
CHE,Switzerland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,92.944
CHE,Switzerland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,468.074
CHE,Switzerland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,419.03
CHE,Switzerland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,92.436
CHE,Switzerland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,326.595
FRA,France,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,4573.295
FRA,France,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,939.991
FRA,France,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,3633.304
FRA,France,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,2767.668
FRA,France,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,373.709
FRA,France,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,2393.959
FRA,France,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,1805.627
FRA,France,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,566.282
FRA,France,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,1239.345
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,5217.602
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,1802.548
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,3415.054
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,2979.399
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,592.11
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,2387.289
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,2238.203
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,1210.439
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,1027.765
GRC,Greece,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2020,284.283
GRC,Greece,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2020,129.388
GRC,Greece,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2020,154.894
GRC,Greece,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2020,150.513
GRC,Greece,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2020,53.981
GRC,Greece,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2020,96.532
GRC,Greece,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2020,133.77
GRC,Greece,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2020,75.408
GRC,Greece,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2020,58.362
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,941.171
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,301.347
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PRI,Private,2024,639.824
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_TOTAL,Total,2024,506.144
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PUB,Public,2024,126.1
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_M,Male,INS_SECTOR_PRI,Private,2024,380.045
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_TOTAL,Total,2024,435.027
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PUB,Public,2024,175.247
ARG,Argentina,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_F,Female,INS_SECTOR_PRI,Private,2024,259.78
BRA,Brazil,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_TOTAL,Total,2024,7627.758
BRA,Brazil,A,Annual,EES_STEM_NB,Employees in STEM occupations,SEX_T,Total,INS_SECTOR_PUB,Public,2024,2266.584
