REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,DSB,DSB_LABEL,TIME_PERIOD,VALUE
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_TOTAL,Total,2024,12.975
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_DIS,Persons with disability,2024,6.31
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_NODIS,Persons without disability,2024,6.666
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_TOTAL,Total,2024,6.864
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_DIS,Persons with disability,2024,3.561
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_NODIS,Persons without disability,2024,3.302
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_TOTAL,Total,2024,6.112
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_DIS,Persons with disability,2024,2.749
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_NODIS,Persons without disability,2024,3.363
CHL,Chile,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_TOTAL,Total,2022,77.948
CHL,Chile,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_DIS,Persons with disability,2022,8.725
CHL,Chile,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_NODIS,Persons without disability,2022,69.223
CHL,Chile,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_TOTAL,Total,2022,37.494
CHL,Chile,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_DIS,Persons with disability,2022,2.299
CHL,Chile,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_NODIS,Persons without disability,2022,35.195
CHL,Chile,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_TOTAL,Total,2022,40.454
CHL,Chile,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_DIS,Persons with disability,2022,6.426
CHL,Chile,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_NODIS,Persons without disability,2022,34.028
COL,Colombia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_TOTAL,Total,2024,128.991
COL,Colombia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_DIS,Persons with disability,2024,3.493
COL,Colombia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_NODIS,Persons without disability,2024,125.498
COL,Colombia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_TOTAL,Total,2024,37.012
COL,Colombia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_DIS,Persons with disability,2024,2.058
COL,Colombia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_NODIS,Persons without disability,2024,34.954
COL,Colombia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_TOTAL,Total,2024,91.98
COL,Colombia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_DIS,Persons with disability,2024,1.435
COL,Colombia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_NODIS,Persons without disability,2024,90.545
PER,Peru,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_TOTAL,Total,2021,10.506
PER,Peru,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_DIS,Persons with disability,2021,
PER,Peru,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_NODIS,Persons without disability,2021,9.886
PER,Peru,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_TOTAL,Total,2021,7.727
PER,Peru,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_DIS,Persons with disability,2021,
PER,Peru,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_NODIS,Persons without disability,2021,7.107
PER,Peru,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_TOTAL,Total,2021,2.778
PER,Peru,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_DIS,Persons with disability,2021,
PER,Peru,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_NODIS,Persons without disability,2021,2.778
USA,United States of America,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_TOTAL,Total,2024,200.756
USA,United States of America,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_DIS,Persons with disability,2024,26.866
USA,United States of America,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_NODIS,Persons without disability,2024,173.891
USA,United States of America,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_TOTAL,Total,2024,130.734
USA,United States of America,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_DIS,Persons with disability,2024,16.737
USA,United States of America,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_NODIS,Persons without disability,2024,113.997
USA,United States of America,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_TOTAL,Total,2024,70.022
USA,United States of America,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_DIS,Persons with disability,2024,10.128
USA,United States of America,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_NODIS,Persons without disability,2024,59.894
IDN,Indonesia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_TOTAL,Total,2023,319.517
IDN,Indonesia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_DIS,Persons with disability,2023,2.217
IDN,Indonesia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_NODIS,Persons without disability,2023,317.3
IDN,Indonesia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_TOTAL,Total,2023,231.331
IDN,Indonesia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_DIS,Persons with disability,2023,1.661
IDN,Indonesia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,DSB_STATUS_NODIS,Persons without disability,2023,229.671
IDN,Indonesia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_TOTAL,Total,2023,88.186
IDN,Indonesia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_DIS,Persons with disability,2023,0.557
IDN,Indonesia,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,DSB_STATUS_NODIS,Persons without disability,2023,87.629
EGY,Egypt,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_TOTAL,Total,2024,904.397
EGY,Egypt,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_DIS,Persons with disability,2024,
EGY,Egypt,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,DSB_STATUS_NODIS,Persons without disability,2024,902.681
