REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,GEO,GEO_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,GEO_COV_NAT,National,2024,25.99
AUT,Austria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,GEO_COV_RUR,Rural,2024,4.853
AUT,Austria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,GEO_COV_URB,Urban,2024,21.137
AUT,Austria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,GEO_COV_NAT,National,2024,14.581
AUT,Austria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,GEO_COV_RUR,Rural,2024,2.83
AUT,Austria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,GEO_COV_URB,Urban,2024,11.751
AUT,Austria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,GEO_COV_NAT,National,2024,11.409
AUT,Austria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,GEO_COV_RUR,Rural,2024,2.023
AUT,Austria,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_F,Female,GEO_COV_URB,Urban,2024,9.386
BEL,Belgium,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,GEO_COV_NAT,National,2024,9.557
BEL,Belgium,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,GEO_COV_RUR,Rural,2024,1.403
BEL,Belgium,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_T,Total,GEO_COV_URB,Urban,2024,8.154
BEL,Belgium,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,GEO_COV_NAT,National,2024,3.374
BEL,Belgium,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,GEO_COV_RUR,Rural,2024,
BEL,Belgium,A,Annual,EIP_WDIS_NB,Discouraged jobseekers (previous ILO definition),SEX_M,Male,GEO_COV_URB,Urban,2024,2.403
