REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,OC2,OC2_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_TOTAL,Total,2024,356.992
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_01,01 - Commissioned armed forces officers,2024,1.886
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_02,02 - Non-commissioned armed forces officers,2024,6.751
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_03,"03 - Armed forces occupations, other ranks",2024,2.577
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_11,"11 - Chief executives, senior officials and legislators",2024,5.782
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_12,12 - Administrative and commercial managers,2024,4.374
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_13,13 - Production and specialised services managers,2024,7.595
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_14,"14 - Hospitality, retail and other services managers",2024,0.533
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_21,21 - Science and engineering professionals,2024,6.996
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_22,22 - Health professionals,2024,14.467
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_23,23 - Teaching professionals,2024,42.176
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_24,24 - Business and administration professionals,2024,12.2
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_25,25 - Information and communications technology professionals,2024,6.364
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_26,"26 - Legal, social and cultural professionals",2024,23.0
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_31,31 - Science and engineering associate professionals,2024,9.904
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_32,32 - Health associate professionals,2024,4.401
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_33,33 - Business and administration associate professionals,2024,67.026
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_34,"34 - Legal, social, cultural and related associate professionals",2024,12.739
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_35,35 - Information and communications technicians,2024,2.005
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_41,41 - General and keyboard clerks,2024,23.907
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_42,42 - Customer services clerks,2024,1.388
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_43,43 - Numerical and material recording clerks,2024,6.326
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_44,44 - Other clerical support workers,2024,4.425
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_51,51 - Personal service workers,2024,7.247
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_52,52 - Sales workers,2024,0.663
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_53,53 - Personal care workers,2024,9.341
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_54,54 - Protective services workers,2024,27.088
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_61,61 - Market-oriented skilled agricultural workers,2024,2.267
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_62,"62 - Market-oriented skilled forestry, fishery and hunting workers",2024,0.261
AUT,Austria,A,Annual,EMP_PUBL_NB,Public sector employment (previous ILO definition),SEX_T,Total,OC2_ISCO08_71,"71 - Building and related trades workers, excluding electricians",2024,5.189
