REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_YTHADULT_YGE15,15+,2024,834.712
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_YTHADULT_Y15-64,15-64,2024,819.786
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_YTHADULT_Y15-24,15-24,2024,71.097
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_YTHADULT_YGE25,25+,2024,763.616
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_YTHADULT_YGE15,15+,2024,529.083
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_YTHADULT_Y15-64,15-64,2024,517.906
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_YTHADULT_Y15-24,15-24,2024,48.187
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,AGE_YTHADULT_YGE25,25+,2024,480.896
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_YTHADULT_YGE15,15+,2024,305.63
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_YTHADULT_Y15-64,15-64,2024,301.88
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_YTHADULT_Y15-24,15-24,2024,22.909
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,AGE_YTHADULT_YGE25,25+,2024,282.72
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_TOTAL,Total,2024,834.712
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_Y15-24,15-24,2024,71.097
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_Y25-54,25-54,2024,630.339
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,AGE_AGGREGATE_Y55-64,55-64,2024,118.35
