REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,EC2,EC2_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_TOTAL,Total,2024,834.712
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_A01,"01 - Crop and animal production, hunting and related service activities",2024,1.118
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_A02,02 - Forestry and logging,2024,4.757
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_B06,06 - Extraction of crude petroleum and natural gas,2024,0.427
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_B07,07 - Mining of metal ores,2024,
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_B08,08 - Other mining and quarrying,2024,1.464
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C10,10 - Manufacture of food products,2024,4.967
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C11,11 - Manufacture of beverages,2024,2.354
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C13,13 - Manufacture of textiles,2024,1.126
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C14,14 - Manufacture of wearing apparel,2024,0.147
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C15,15 - Manufacture of leather and related products,2022,0.397
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C16,"16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2024,4.303
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C17,17 - Manufacture of paper and paper products,2024,2.599
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C18,18 - Printing and reproduction of recorded media,2024,1.834
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C19,19 - Manufacture of coke and refined petroleum products,2024,1.0
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C20,20 - Manufacture of chemicals and chemical products,2024,7.514
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C21,"21 - Manufacture of pharmaceuticals, medicinal chemical and botanical products",2024,10.779
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C22,22 - Manufacture of rubber and plastics products,2024,7.13
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C23,23 - Manufacture of other non-metallic mineral products,2024,4.417
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C24,24 - Manufacture of basic metals,2024,10.652
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C25,"25 - Manufacture of fabricated metal products, except machinery and equipment",2024,13.859
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C26,"26 - Manufacture of computer, electronic and optical products",2024,18.271
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C27,27 - Manufacture of electrical equipment,2024,17.034
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C28,28 - Manufacture of machinery and equipment n.e.c.,2024,25.97
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C29,"29 - Manufacture of motor vehicles, trailers and semi-trailers",2024,11.944
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C30,30 - Manufacture of other transport equipment,2024,5.244
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C31,31 - Manufacture of furniture,2024,0.851
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C32,32 - Other manufacturing,2024,7.539
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_C33,33 - Repair and installation of machinery and equipment,2024,8.704
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_D35,"35 - Electricity, gas, steam and air conditioning supply",2024,11.117
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_E36,"36 - Water collection, treatment and supply",2024,0.678
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,EC2_ISIC4_E37,37 - Sewerage,2024,0.912
