REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,29.61
AUT,Austria,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,32.12
AUT,Austria,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,25.29
CHE,Switzerland,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,36.91
CHE,Switzerland,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,39.54
CHE,Switzerland,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,33.29
FRA,France,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,31.65
FRA,France,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,32.88
FRA,France,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,29.76
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,33.62
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,36.14
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,30.27
ITA,Italy,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2020,32.86
ITA,Italy,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2020,34.38
ITA,Italy,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2020,30.31
CZE,Czechia,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,35.16
CZE,Czechia,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,36.25
CZE,Czechia,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,33.55
GRC,Greece,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,37.7
GRC,Greece,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,38.26
GRC,Greece,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,36.96
PRT,Portugal,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,33.39
PRT,Portugal,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,35.02
PRT,Portugal,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,31.3
ARG,Argentina,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,36.18
ARG,Argentina,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,39.18
ARG,Argentina,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,32.69
BRA,Brazil,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,38.63
BRA,Brazil,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,39.79
BRA,Brazil,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,37.37
COL,Colombia,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2017,47.61
COL,Colombia,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2017,48.58
COL,Colombia,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2017,45.61
MEX,Mexico,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,42.71
MEX,Mexico,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,44.15
MEX,Mexico,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,40.44
PER,Peru,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,40.43
PER,Peru,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,42.36
PER,Peru,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,37.74
URY,Uruguay,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,33.72
URY,Uruguay,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,36.26
URY,Uruguay,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_F,Female,2024,30.78
USA,United States of America,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_T,Total,2024,37.04
USA,United States of America,A,Annual,HOW_STEE_NB,Average weekly hours actually worked per employee in a STEM occupation,SEX_M,Male,2024,39.27
