REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2024,29.78
AUT,Austria,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2024,32.5
AUT,Austria,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,25.06
CHE,Switzerland,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2024,36.42
CHE,Switzerland,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2024,39.15
CHE,Switzerland,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,32.62
FRA,France,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2024,31.95
FRA,France,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2024,33.33
FRA,France,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,30.0
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2024,33.18
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2024,35.68
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_F,Female,2024,29.75
ITA,Italy,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_T,Total,2020,32.44
ITA,Italy,A,Annual,HOW_STEM_NB,Average weekly hours actually worked per person in in a STEM occupation,SEX_M,Male,2020,33.94
