REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,ECO,ECO_LABEL,OCU,OCU_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_TOTAL,Total,OCU_SKILL_TOTAL,Total,2024,33.41
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_TOTAL,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,33.92
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_TOTAL,Total,OCU_SKILL_L2,Skill level 2 ~ medium,2024,33.51
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_TOTAL,Total,OCU_SKILL_L1,Skill level 1 ~ low,2024,29.37
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_TOTAL,Total,OCU_SKILL_X,Not elsewhere classified,2024,42.85
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_TOTAL,Total,2024,40.17
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,37.61
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_L2,Skill level 2 ~ medium,2024,40.86
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_L1,Skill level 1 ~ low,2024,27.48
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_IND,Industry,OCU_SKILL_TOTAL,Total,2024,35.6
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_IND,Industry,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,36.26
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_IND,Industry,OCU_SKILL_L2,Skill level 2 ~ medium,2024,35.47
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_IND,Industry,OCU_SKILL_L1,Skill level 1 ~ low,2024,33.67
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_SER,Services,OCU_SKILL_TOTAL,Total,2024,32.35
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_SER,Services,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,33.31
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_SER,Services,OCU_SKILL_L2,Skill level 2 ~ medium,2024,31.93
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_SER,Services,OCU_SKILL_L1,Skill level 1 ~ low,2024,27.6
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_SER,Services,OCU_SKILL_X,Not elsewhere classified,2024,42.85
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_TOTAL,Total,2024,33.41
