REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,ECO,ECO_LABEL,OCU,OCU_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_SKILL_TOTAL,Total,2024,32.58
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,33.47
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_SKILL_L2,Skill level 2 ~ medium,2024,32.26
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_SKILL_L1,Skill level 1 ~ low,2024,29.59
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_SKILL_X,Not elsewhere classified,2024,48.42
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_TOTAL,Total,2024,33.47
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,35.83
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_L2,Skill level 2 ~ medium,2024,33.68
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_L1,Skill level 1 ~ low,2024,27.6
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_IND,Industry,OCU_SKILL_TOTAL,Total,2024,35.17
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_IND,Industry,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,35.93
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_IND,Industry,OCU_SKILL_L2,Skill level 2 ~ medium,2024,34.87
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_IND,Industry,OCU_SKILL_L1,Skill level 1 ~ low,2024,33.86
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_SER,Services,OCU_SKILL_TOTAL,Total,2024,31.56
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_SER,Services,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,32.72
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_SER,Services,OCU_SKILL_L2,Skill level 2 ~ medium,2024,30.99
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_SER,Services,OCU_SKILL_L1,Skill level 1 ~ low,2024,27.75
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_SER,Services,OCU_SKILL_X,Not elsewhere classified,2024,48.42
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_TOTAL,Total,2024,32.58
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_1,1. Managers,2024,37.42
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_2,2. Professionals,2024,32.79
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,33.1
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_4,4. Clerical support workers,2024,30.32
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_5,5. Service and sales workers,2024,29.49
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,34.42
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_7,7. Craft and related trades workers,2024,35.8
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,36.78
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_9,9. Elementary occupations,2024,29.59
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_0,0. Armed forces occupations,2024,48.42
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_TOTAL,Total,2024,33.47
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_1,1. Managers,2024,36.71
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_2,2. Professionals,2024,35.76
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_3,3. Technicians and associate professionals,2024,35.84
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_4,4. Clerical support workers,2024,22.58
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_5,5. Service and sales workers,2024,32.15
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,35.89
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_7,7. Craft and related trades workers,2024,34.92
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,39.17
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_AGR,Agriculture,OCU_ISCO08_9,9. Elementary occupations,2024,27.6
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_IND,Industry,OCU_ISCO08_TOTAL,Total,2024,35.17
AUT,Austria,A,Annual,HOW_XEES_NB,Average weekly hours actually worked per employee,ECO_SECTOR_IND,Industry,OCU_ISCO08_1,1. Managers,2024,38.1
