REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MIG,MIG_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,59
AUT,Austria,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2022,39
AUT,Austria,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2022,70
AUT,Austria,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,58
AUT,Austria,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2022,38
AUT,Austria,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2022,66
AUT,Austria,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,1
AUT,Austria,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2022,1
AUT,Austria,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2022,4
BEL,Belgium,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,45
BEL,Belgium,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2022,11
BEL,Belgium,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2022,34
BEL,Belgium,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,43
BEL,Belgium,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2022,11
BEL,Belgium,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2022,32
BEL,Belgium,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_TOTAL,Total,2022,2
BEL,Belgium,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2021,1
BEL,Belgium,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2022,2
BEL,Belgium,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_X,Unknown,2018,1
BEL,Belgium,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_X,Unknown,2018,1
CHE,Switzerland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,58
CHE,Switzerland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2022,27
CHE,Switzerland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2022,31
CHE,Switzerland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,55
CHE,Switzerland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2022,27
CHE,Switzerland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2022,28
CHE,Switzerland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_TOTAL,Total,2022,3
CHE,Switzerland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2020,2
CHE,Switzerland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2022,3
CHE,Switzerland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_X,Unknown,2018,1
CHE,Switzerland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_X,Unknown,2018,1
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,397
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2022,50
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2022,345
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_X,Unknown,2022,2
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,364
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2022,50
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2022,312
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_X,Unknown,2022,2
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_TOTAL,Total,2022,33
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2021,1
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2022,33
DEU,Germany,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_X,Unknown,2016,3
ESP,Spain,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,411
ESP,Spain,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2022,70
ESP,Spain,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2022,341
ESP,Spain,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,393
ESP,Spain,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2022,69
ESP,Spain,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2022,324
ESP,Spain,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_TOTAL,Total,2022,18
ESP,Spain,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2022,1
ESP,Spain,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2022,17
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,37
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2017,3
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2017,45
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_X,Unknown,2022,775
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,35
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2017,3
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2017,43
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_X,Unknown,2022,699
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,2
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2015,2
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2017,2
FRA,France,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_X,Unknown,2022,76
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,260
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2015,0
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2015,0
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_X,Unknown,2015,260
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_TOTAL,Total,2015,236
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2015,0
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2015,0
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_X,Unknown,2015,236
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_TOTAL,Total,2015,24
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2015,0
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2015,0
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_F,Female,MIG_STATUS_X,Unknown,2015,24
ITA,Italy,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,469
ITA,Italy,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2022,90
ITA,Italy,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2022,379
ITA,Italy,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_T,Total,MIG_STATUS_X,Unknown,2017,484
ITA,Italy,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,441
ITA,Italy,A,Annual,INJ_FATL_NB,Cases of fatal occupational injury,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2022,87
