REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,OCU,OCU_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_SKILL_TOTAL,Total,2018,17.42
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2018,81.32
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_SKILL_L1,Skill level 1 ~ low,2018,11.66
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_SKILL_TOTAL,Total,2018,19.03
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2018,87.41
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_SKILL_L1,Skill level 1 ~ low,2018,12.74
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_F,Female,OCU_SKILL_TOTAL,Total,2018,15.15
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2018,68.64
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_F,Female,OCU_SKILL_L1,Skill level 1 ~ low,2018,10.45
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_ISCO08_TOTAL,Total,2018,17.42
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_ISCO08_1,1. Managers,2018,36.58
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_ISCO08_2,2. Professionals,2018,24.81
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2018,19.93
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_ISCO08_4,4. Clerical support workers,2018,16.48
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_ISCO08_5,5. Service and sales workers,2018,12.29
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_ISCO08_7,7. Craft and related trades workers,2018,15.59
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2018,15.11
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_T,Total,OCU_ISCO08_9,9. Elementary occupations,2018,11.66
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_ISCO08_TOTAL,Total,2018,19.03
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_ISCO08_1,1. Managers,2018,39.18
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_ISCO08_2,2. Professionals,2018,26.77
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2018,21.46
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_ISCO08_4,4. Clerical support workers,2018,18.13
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_ISCO08_5,5. Service and sales workers,2018,13.05
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_ISCO08_7,7. Craft and related trades workers,2018,15.89
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2018,15.47
AUT,Austria,A,Annual,SDG_0851_NB,SDG 8.5.1: Average hourly earnings of female and male employees,SEX_M,Male,OCU_ISCO08_9,9. Elementary occupations,2018,12.74
