REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MIG,MIG_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,2322.598
AUT,Austria,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,3039.502
AUT,Austria,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,1427.668
BEL,Belgium,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1425.74
BEL,Belgium,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,12209.93
BEL,Belgium,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2022,3796.24
CHE,Switzerland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,2129.82
CHE,Switzerland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2016,2178.75
CHE,Switzerland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,2200.53
CHE,Switzerland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,2267.3
CHE,Switzerland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,2294.75
CHE,Switzerland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,2108.12
CHE,Switzerland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,2288.31
CHE,Switzerland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,2293.02
CHE,Switzerland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,2344.97
DEU,Germany,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1396.8
DEU,Germany,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2021,810.07
DEU,Germany,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2021,1994.98
DEU,Germany,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,2139.0
DEU,Germany,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2021,1148.82
DEU,Germany,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2021,2812.69
DEU,Germany,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2022,818.0
DEU,Germany,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2021,295.91
DEU,Germany,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2021,1100.02
ESP,Spain,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,2319.639
ESP,Spain,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,3075.236
ESP,Spain,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2023,1457.585
ESP,Spain,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2023,2779.281
ESP,Spain,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2023,2254.635
ESP,Spain,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2023,3629.762
ESP,Spain,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2023,2992.49
ESP,Spain,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2023,1703.482
ESP,Spain,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2023,1424.966
FRA,France,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,8670.36
FRA,France,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,8528.86
FRA,France,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,9058.09
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,760.37
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2016,721.87
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,710.6
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,691.65
ITA,Italy,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,1313.89
ITA,Italy,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2016,1300.51
ITA,Italy,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,1277.69
ITA,Italy,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,1255.67
ITA,Italy,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,1238.38
ITA,Italy,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,1413.27
ITA,Italy,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,1209.49
ITA,Italy,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,1429.18
ITA,Italy,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1137.39
NLD,Netherlands,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,1284.13
NLD,Netherlands,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,1217.93
NLD,Netherlands,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,1216.39
NLD,Netherlands,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,997.1
NLD,Netherlands,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,1072.01
NLD,Netherlands,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,1057.11
NLD,Netherlands,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1038.11
NLD,Netherlands,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2016,5700.0
NLD,Netherlands,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2016,4500.0
SWE,Sweden,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,748.0
SWE,Sweden,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,766.9
SWE,Sweden,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,727.6
CZE,Czechia,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2016,885.75
CZE,Czechia,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,862.15
CZE,Czechia,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,932.01
CZE,Czechia,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,893.69
CZE,Czechia,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,744.63
CZE,Czechia,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,778.96
CZE,Czechia,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,758.49
CZE,Czechia,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,749.8
CZE,Czechia,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2015,1290.41
CZE,Czechia,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2015,586.34
DNK,Denmark,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,1827.08
DNK,Denmark,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2016,1782.44
DNK,Denmark,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,1608.2
DNK,Denmark,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,1732.93
DNK,Denmark,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,1716.02
DNK,Denmark,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,2565.19
DNK,Denmark,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,2814.35
DNK,Denmark,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,3581.25
DNK,Denmark,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1613.14
FIN,Finland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1261.504
FIN,Finland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2023,871.719
FIN,Finland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2023,1287.729
FIN,Finland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,1600.225
FIN,Finland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2023,1105.186
FIN,Finland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2023,1638.512
FIN,Finland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2023,909.114
FIN,Finland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2023,548.463
FIN,Finland,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2023,929.677
GRC,Greece,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,170.68
GRC,Greece,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,176.45
GRC,Greece,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,135.36
GRC,Greece,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,105.46
GRC,Greece,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,117.38
GRC,Greece,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,120.18
GRC,Greece,A,Annual,SDG_N881_RT,SDG 8.8.1: Non-fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,115.42
