race,mst_label,count,pct
Black,5,5353,42.94
Black,6,3119,25.02
Black,7,1533,12.3
Black,8,1058,8.49
Black,4,610,4.89
Black,9,406,3.26
Black,3,176,1.41
Black,10,115,0.92
Black,2,94,0.75
Black,1,3,0.02
East Asian,5,7948,62.78
East Asian,4,1855,14.65
East Asian,6,1620,12.8
East Asian,3,740,5.85
East Asian,2,389,3.07
East Asian,7,92,0.73
East Asian,8,7,0.06
East Asian,1,6,0.05
East Asian,9,2,0.02
East Asian,10,1,0.01
Indian,5,7397,58.61
Indian,6,3113,24.67
Indian,4,1028,8.15
Indian,7,537,4.26
Indian,3,319,2.53
Indian,2,95,0.75
Indian,8,74,0.59
Indian,9,37,0.29
Indian,10,16,0.13
Indian,1,4,0.03
Latino_Hispanic,5,7865,57.67
Latino_Hispanic,6,2451,17.97
Latino_Hispanic,4,1950,14.3
Latino_Hispanic,3,788,5.78
Latino_Hispanic,2,287,2.1
Latino_Hispanic,7,269,1.97
Latino_Hispanic,8,19,0.14
Latino_Hispanic,1,3,0.02
Latino_Hispanic,9,3,0.02
Latino_Hispanic,10,3,0.02
Middle Eastern,5,4980,55.08
Middle Eastern,4,1495,16.54
Middle Eastern,6,1042,11.53
Middle Eastern,3,991,10.96
Middle Eastern,2,383,4.24
Middle Eastern,7,134,1.48
Middle Eastern,8,8,0.09
Middle Eastern,1,6,0.07
Middle Eastern,9,2,0.02
Southeast Asian,5,7115,62.6
Southeast Asian,6,2229,19.61
Southeast Asian,4,1177,10.36
Southeast Asian,3,401,3.53
Southeast Asian,7,240,2.11
Southeast Asian,2,162,1.43
Southeast Asian,8,27,0.24
Southeast Asian,9,9,0.08
Southeast Asian,1,4,0.04
Southeast Asian,10,2,0.02
White,5,7362,45.45
White,3,2963,18.29
White,4,2794,17.25
White,2,1724,10.64
White,6,1153,7.12
White,7,112,0.69
White,1,76,0.47
White,8,11,0.07
White,9,2,0.01
