race,mst_label,count,pct
subject_0,1,38,100.0
subject_1,1,59,100.0
subject_10,1,33,62.26
subject_10,2,20,37.74
subject_11,1,89,95.7
subject_11,2,4,4.3
subject_12,1,70,63.64
subject_12,2,40,36.36
subject_13,1,56,100.0
subject_14,1,72,100.0
subject_15,1,40,83.33
subject_15,2,8,16.67
subject_16,1,82,100.0
subject_17,2,29,50.88
subject_17,1,28,49.12
subject_18,1,75,81.52
subject_18,2,17,18.48
subject_2,1,43,58.9
subject_2,2,30,41.1
subject_3,1,74,90.24
subject_3,2,8,9.76
subject_4,1,41,58.57
subject_4,2,29,41.43
subject_5,1,63,96.92
subject_5,2,2,3.08
subject_6,1,73,100.0
subject_7,1,93,100.0
subject_8,1,80,96.39
subject_8,2,3,3.61
subject_9,1,83,96.51
subject_9,2,3,3.49
