race,mst_label,count,pct
subject_0,1,38,100.0
subject_1,1,59,100.0
subject_10,1,33,62.26
subject_10,2,20,37.74
subject_11,1,88,94.62
subject_11,2,5,5.38
subject_12,1,62,56.36
subject_12,2,48,43.64
subject_13,1,56,100.0
subject_14,1,71,98.61
subject_14,2,1,1.39
subject_15,1,43,89.58
subject_15,2,5,10.42
subject_16,1,82,100.0
subject_17,1,30,52.63
subject_17,2,27,47.37
subject_18,1,85,92.39
subject_18,2,7,7.61
subject_2,2,38,52.05
subject_2,1,35,47.95
subject_3,1,75,91.46
subject_3,2,7,8.54
subject_4,1,36,51.43
subject_4,2,34,48.57
subject_5,1,63,96.92
subject_5,2,2,3.08
subject_6,1,73,100.0
subject_7,1,93,100.0
subject_8,1,83,100.0
subject_9,1,86,100.0
