race,mst_label,count,pct
subject_0,2,20,52.63
subject_0,3,11,28.95
subject_0,1,4,10.53
subject_0,4,3,7.89
subject_1,2,25,42.37
subject_1,1,18,30.51
subject_1,3,15,25.42
subject_1,4,1,1.69
subject_10,4,30,56.6
subject_10,3,17,32.08
subject_10,2,3,5.66
subject_10,5,3,5.66
subject_11,2,36,38.71
subject_11,3,33,35.48
subject_11,4,14,15.05
subject_11,1,8,8.6
subject_11,5,2,2.15
subject_12,4,59,53.64
subject_12,3,25,22.73
subject_12,2,14,12.73
subject_12,5,12,10.91
subject_13,2,39,69.64
subject_13,1,13,23.21
subject_13,3,4,7.14
subject_14,3,37,51.39
subject_14,2,18,25.0
subject_14,4,15,20.83
subject_14,1,2,2.78
subject_15,3,26,54.17
subject_15,2,11,22.92
subject_15,4,10,20.83
subject_15,5,1,2.08
subject_16,2,58,70.73
subject_16,1,16,19.51
subject_16,3,8,9.76
subject_17,4,46,80.7
subject_17,3,5,8.77
subject_17,2,3,5.26
subject_17,5,3,5.26
subject_18,2,38,41.3
subject_18,3,24,26.09
subject_18,4,19,20.65
subject_18,1,11,11.96
subject_2,4,47,64.38
subject_2,3,19,26.03
subject_2,1,3,4.11
subject_2,5,3,4.11
subject_2,2,1,1.37
subject_3,4,43,52.44
subject_3,3,29,35.37
subject_3,2,9,10.98
subject_3,5,1,1.22
subject_4,4,41,58.57
subject_4,3,15,21.43
subject_4,2,9,12.86
subject_4,5,4,5.71
subject_4,1,1,1.43
subject_5,4,34,52.31
subject_5,3,30,46.15
subject_5,2,1,1.54
subject_6,3,44,60.27
subject_6,2,21,28.77
subject_6,1,4,5.48
subject_6,4,4,5.48
subject_7,2,46,49.46
subject_7,3,36,38.71
subject_7,4,7,7.53
subject_7,1,4,4.3
subject_8,2,51,61.45
subject_8,3,19,22.89
subject_8,1,8,9.64
subject_8,4,5,6.02
subject_9,2,54,62.79
subject_9,3,21,24.42
subject_9,4,9,10.47
subject_9,1,2,2.33
