race,mst_label,count,pct
subject_0,3,15,39.47
subject_0,2,13,34.21
subject_0,4,5,13.16
subject_0,1,3,7.89
subject_0,5,2,5.26
subject_1,2,22,37.29
subject_1,1,18,30.51
subject_1,3,18,30.51
subject_1,4,1,1.69
subject_10,4,18,33.96
subject_10,2,16,30.19
subject_10,3,11,20.75
subject_10,5,5,9.43
subject_10,1,3,5.66
subject_11,4,32,34.41
subject_11,3,31,33.33
subject_11,2,17,18.28
subject_11,1,13,13.98
subject_12,4,41,37.27
subject_12,2,32,29.09
subject_12,3,25,22.73
subject_12,5,12,10.91
subject_13,2,33,58.93
subject_13,1,22,39.29
subject_13,3,1,1.79
subject_14,2,43,59.72
subject_14,3,19,26.39
subject_14,4,10,13.89
subject_15,2,23,47.92
subject_15,4,11,22.92
subject_15,1,8,16.67
subject_15,3,6,12.5
subject_16,2,53,64.63
subject_16,1,20,24.39
subject_16,3,8,9.76
subject_16,4,1,1.22
subject_17,4,40,70.18
subject_17,3,9,15.79
subject_17,5,6,10.53
subject_17,1,2,3.51
subject_18,2,42,45.65
subject_18,1,24,26.09
subject_18,3,19,20.65
subject_18,4,7,7.61
subject_2,4,44,60.27
subject_2,3,13,17.81
subject_2,2,8,10.96
subject_2,5,7,9.59
subject_2,1,1,1.37
subject_3,4,44,53.66
subject_3,3,17,20.73
subject_3,2,15,18.29
subject_3,5,5,6.1
subject_3,1,1,1.22
subject_4,4,34,48.57
subject_4,5,18,25.71
subject_4,3,10,14.29
subject_4,2,5,7.14
subject_4,1,3,4.29
subject_5,4,34,52.31
subject_5,3,16,24.62
subject_5,2,13,20.0
subject_5,1,2,3.08
subject_6,3,34,46.58
subject_6,2,30,41.1
subject_6,4,9,12.33
subject_7,2,53,56.99
subject_7,3,22,23.66
subject_7,4,14,15.05
subject_7,1,3,3.23
subject_7,5,1,1.08
subject_8,2,45,54.22
subject_8,1,24,28.92
subject_8,3,12,14.46
subject_8,4,2,2.41
subject_9,2,47,54.65
subject_9,3,19,22.09
subject_9,4,13,15.12
subject_9,1,7,8.14
