race,mst_label,count,pct
subject_0,5,14,36.84
subject_0,4,7,18.42
subject_0,6,6,15.79
subject_0,7,6,15.79
subject_0,2,4,10.53
subject_0,3,1,2.63
subject_1,5,24,40.68
subject_1,3,13,22.03
subject_1,6,10,16.95
subject_1,2,7,11.86
subject_1,7,3,5.08
subject_1,4,2,3.39
subject_10,8,32,60.38
subject_10,7,10,18.87
subject_10,6,5,9.43
subject_10,9,4,7.55
subject_10,5,2,3.77
subject_11,5,28,30.11
subject_11,6,26,27.96
subject_11,3,21,22.58
subject_11,2,6,6.45
subject_11,7,6,6.45
subject_11,4,4,4.3
subject_11,8,2,2.15
subject_12,8,48,43.64
subject_12,6,20,18.18
subject_12,7,16,14.55
subject_12,5,10,9.09
subject_12,9,9,8.18
subject_12,3,6,5.45
subject_12,4,1,0.91
subject_13,2,24,42.86
subject_13,3,14,25.0
subject_13,5,8,14.29
subject_13,6,7,12.5
subject_13,1,2,3.57
subject_13,4,1,1.79
subject_14,6,24,33.33
subject_14,5,20,27.78
subject_14,4,11,15.28
subject_14,8,8,11.11
subject_14,7,7,9.72
subject_14,2,1,1.39
subject_14,3,1,1.39
subject_15,5,13,27.08
subject_15,7,11,22.92
subject_15,2,9,18.75
subject_15,6,9,18.75
subject_15,4,2,4.17
subject_15,8,2,4.17
subject_15,3,1,2.08
subject_15,10,1,2.08
subject_16,2,37,45.12
subject_16,3,24,29.27
subject_16,4,12,14.63
subject_16,6,5,6.1
subject_16,7,3,3.66
subject_16,5,1,1.22
subject_17,8,34,59.65
subject_17,7,10,17.54
subject_17,9,6,10.53
subject_17,4,2,3.51
subject_17,6,2,3.51
subject_17,1,1,1.75
subject_17,2,1,1.75
subject_17,5,1,1.75
subject_18,7,24,26.09
subject_18,2,18,19.57
subject_18,4,18,19.57
subject_18,6,10,10.87
subject_18,5,7,7.61
subject_18,1,5,5.43
subject_18,8,5,5.43
subject_18,3,3,3.26
subject_18,9,2,2.17
subject_2,8,54,73.97
subject_2,6,10,13.7
subject_2,7,5,6.85
subject_2,2,1,1.37
subject_2,3,1,1.37
subject_2,5,1,1.37
subject_2,9,1,1.37
subject_3,7,41,50.0
subject_3,8,14,17.07
subject_3,4,8,9.76
subject_3,5,5,6.1
subject_3,9,5,6.1
subject_3,3,4,4.88
subject_3,6,4,4.88
subject_3,2,1,1.22
subject_4,8,26,37.14
subject_4,7,14,20.0
subject_4,6,10,14.29
subject_4,5,8,11.43
subject_4,9,5,7.14
subject_4,2,3,4.29
subject_4,3,2,2.86
subject_4,4,2,2.86
subject_5,8,30,46.15
subject_5,6,16,24.62
subject_5,7,15,23.08
subject_5,3,2,3.08
subject_5,5,2,3.08
subject_6,6,26,35.62
subject_6,5,20,27.4
subject_6,7,14,19.18
subject_6,4,10,13.7
subject_6,3,2,2.74
subject_6,8,1,1.37
subject_7,5,27,29.03
subject_7,6,23,24.73
subject_7,4,14,15.05
subject_7,7,9,9.68
subject_7,2,8,8.6
subject_7,3,8,8.6
subject_7,8,4,4.3
subject_8,3,49,59.04
subject_8,2,9,10.84
subject_8,5,7,8.43
subject_8,6,5,6.02
subject_8,7,5,6.02
subject_8,4,4,4.82
subject_8,8,4,4.82
subject_9,5,30,34.88
subject_9,4,22,25.58
subject_9,6,13,15.12
subject_9,7,9,10.47
subject_9,2,6,6.98
subject_9,3,5,5.81
subject_9,8,1,1.16
