job_title_original,SEX_F,SEX_M,male_count,female_count,total,male_pct,female_pct
Accountant,19310.343,18576.85,18576.85,19310.343,37887.193,0.4903200403365855,0.5096799596634145
Actor,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Actuary,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Administrative Assistant,24557.03,22138.776,22138.776,24557.03,46695.806,0.47410630410791077,0.5258936958920893
Administrator,4655.2029999999995,15311.815999999999,15311.815999999999,4655.2029999999995,19967.019,0.7668553828691203,0.23314461713087964
Air Traffic Controller,4020.784,22721.184,22721.184,4020.784,26741.968,0.8496451719634097,0.15035482803659028
Animal Trainer,30575.028000000002,26990.796,26990.796,30575.028000000002,57565.824,0.46886840358612775,0.5311315964138723
Anthropologist,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Appraiser,24557.03,22138.776,22138.776,24557.03,46695.806,0.47410630410791077,0.5258936958920893
Archaeologist,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Architect,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Archivist,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Art Director,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Artist,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Astronaut,4020.784,22721.184,22721.184,4020.784,26741.968,0.8496451719634097,0.15035482803659028
Astronomer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Athlete,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Audio Technician,1340.809,4865.448,4865.448,1340.809,6206.2570000000005,0.7839585115472981,0.21604148845270182
Auditor,19310.343,18576.85,18576.85,19310.343,37887.193,0.4903200403365855,0.5096799596634145
Automotive Designer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Baker,13577.674,19456.386,19456.386,13577.674,33034.06,0.5889795562519412,0.41102044374805885
Banker,13577.674,19456.386,19456.386,13577.674,33034.06,0.5889795562519412,0.41102044374805885
Bankruptcy Specialist,20804.166,8092.372,8092.372,20804.166,28896.538,0.2800464194015214,0.7199535805984787
Barber,30575.028000000002,26990.796,26990.796,30575.028000000002,57565.824,0.46886840358612775,0.5311315964138723
Barista,39834.04,43044.372,43044.372,39834.04,82878.41200000001,0.5193677214761305,0.48063227852386936
Bartender,30575.028000000002,26990.796,26990.796,30575.028000000002,57565.824,0.46886840358612775,0.5311315964138723
Basketball player,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Biologist,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Biomedical Engineer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Blacksmith,1021.439,33029.411,33029.411,1021.439,34050.85,0.9700025403183768,0.02999745968162322
Bodyguard,3396.599,28456.007999999998,28456.007999999998,3396.599,31852.606999999996,0.8933651176495538,0.10663488235044624
Bounty Hunter,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Boxer,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Brand Manager,2114.273,5135.843,5135.843,2114.273,7250.116,0.708380803838173,0.29161919616182697
Brewer,11120.758,23373.541,23373.541,11120.758,34494.299,0.6776059139511721,0.32239408604882797
Bricklayer,3331.705,44355.99,44355.99,3331.705,47687.695,0.9301349121613028,0.06986508783869717
Broker,14040.315,8285.101,8285.101,14040.315,22325.416,0.37110623157033223,0.6288937684296678
Builder,30575.028000000002,26990.796,26990.796,30575.028000000002,57565.824,0.46886840358612775,0.5311315964138723
Butcher,13577.674,19456.386,19456.386,13577.674,33034.06,0.5889795562519412,0.41102044374805885
CEO,2518.168,5710.225,5710.225,2518.168,8228.393,0.6939660028391935,0.3060339971608065
Carer,30575.028000000002,26990.796,26990.796,30575.028000000002,57565.824,0.46886840358612775,0.5311315964138723
Carpenter,3331.705,44355.99,44355.99,3331.705,47687.695,0.9301349121613028,0.06986508783869717
Cartographer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Cashier,14040.315,8285.101,8285.101,14040.315,22325.416,0.37110623157033223,0.6288937684296678
Chef,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Chemical Engineer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Chemist,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Chiropractor,20804.166,8092.372,8092.372,20804.166,28896.538,0.2800464194015214,0.7199535805984787
Civil Engineer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Claims Adjuster,10927.311,12289.736,12289.736,10927.311,23217.047,0.5293410484115401,0.47065895158846
Cleaner,1021.439,33029.411,33029.411,1021.439,34050.85,0.9700025403183768,0.02999745968162322
Clerk,10927.311,12289.736,12289.736,10927.311,23217.047,0.5293410484115401,0.47065895158846
Coach,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Comedian,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Compliance Officer,19310.343,18576.85,18576.85,19310.343,37887.193,0.4903200403365855,0.5096799596634145
Composer,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Conservation Officer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Construction Worker,3331.705,44355.99,44355.99,3331.705,47687.695,0.9301349121613028,0.06986508783869717
Copywriter,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Court Reporter,24557.03,22138.776,22138.776,24557.03,46695.806,0.47410630410791077,0.5258936958920893
Crime Scene Investigator,4020.784,22721.184,22721.184,4020.784,26741.968,0.8496451719634097,0.15035482803659028
Customer Support Specialist,14040.315,8285.101,8285.101,14040.315,22325.416,0.37110623157033223,0.6288937684296678
DJ,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Dancer,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Data Scientist,4655.2029999999995,15311.815999999999,15311.815999999999,4655.2029999999995,19967.019,0.7668553828691203,0.23314461713087964
Database Administrator,4655.2029999999995,15311.815999999999,15311.815999999999,4655.2029999999995,19967.019,0.7668553828691203,0.23314461713087964
Debt Counselor,46603.986000000004,25915.205,25915.205,46603.986000000004,72519.191,0.35735650994782886,0.6426434900521711
Dentist,20804.166,8092.372,8092.372,20804.166,28896.538,0.2800464194015214,0.7199535805984787
Detective,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Development Officer,1340.809,4865.448,4865.448,1340.809,6206.2570000000005,0.7839585115472981,0.21604148845270182
Dietitian,20804.166,8092.372,8092.372,20804.166,28896.538,0.2800464194015214,0.7199535805984787
Director,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Doctor,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Dog Walker,5909.849,16596.003,16596.003,5909.849,22505.852,0.7374083416171048,0.2625916583828953
Draughtsperson,4020.784,22721.184,22721.184,4020.784,26741.968,0.8496451719634097,0.15035482803659028
Driver,1021.439,33029.411,33029.411,1021.439,34050.85,0.9700025403183768,0.02999745968162322
