REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,ECO,ECO_LABEL,OCU,OCU_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_SKILL_TOTAL,Total,2024,3790.85
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,1695.954
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_SKILL_L2,Skill level 2 ~ medium,2024,1765.26
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_SKILL_L1,Skill level 1 ~ low,2024,327.341
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_SKILL_X,Not elsewhere classified,2024,2.295
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_TOTAL,Total,2024,28.686
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,4.782
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_L2,Skill level 2 ~ medium,2024,21.06
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_AGR,Agriculture,OCU_SKILL_L1,Skill level 1 ~ low,2024,2.845
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_NAG,Non-agriculture,OCU_SKILL_TOTAL,Total,2024,3762.164
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_NAG,Non-agriculture,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,1691.172
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_NAG,Non-agriculture,OCU_SKILL_L2,Skill level 2 ~ medium,2024,1744.201
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_NAG,Non-agriculture,OCU_SKILL_L1,Skill level 1 ~ low,2024,324.496
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_IND,Industry,OCU_SKILL_TOTAL,Total,2024,1040.232
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_IND,Industry,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,382.299
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_IND,Industry,OCU_SKILL_L2,Skill level 2 ~ medium,2024,558.344
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_IND,Industry,OCU_SKILL_L1,Skill level 1 ~ low,2024,99.589
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_SER,Services,OCU_SKILL_TOTAL,Total,2024,2721.932
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_SER,Services,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,1308.873
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_SER,Services,OCU_SKILL_L2,Skill level 2 ~ medium,2024,1185.857
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_SER,Services,OCU_SKILL_L1,Skill level 1 ~ low,2024,224.907
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_SER,Services,OCU_SKILL_X,Not elsewhere classified,2024,2.295
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_TOTAL,Total,2024,3790.85
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_1,1. Managers,2024,194.055
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_2,2. Professionals,2024,813.162
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,688.737
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_4,4. Clerical support workers,2024,408.42
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_5,5. Service and sales workers,2024,668.798
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,26.76
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_7,7. Craft and related trades workers,2024,444.73
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,216.553
AUT,Austria,A,Annual,EES_TEES_NB,Employees,ECO_SECTOR_TOTAL,Total,OCU_ISCO08_9,9. Elementary occupations,2024,327.341
