REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,JOB,JOB_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_TOTAL,Total,2024,834.712
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_PART,Part-time,2024,220.453
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_FULL,Full-time,2024,614.259
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_TOTAL,Total,2024,529.083
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_PART,Part-time,2024,68.817
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_FULL,Full-time,2024,460.265
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_TOTAL,Total,2024,305.63
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_PART,Part-time,2024,151.636
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_FULL,Full-time,2024,153.993
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_TOTAL,Total,2024,1149.068
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_PART,Part-time,2024,500.336
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_FULL,Full-time,2024,648.732
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_TOTAL,Total,2024,661.742
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_PART,Part-time,2024,194.463
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_FULL,Full-time,2024,467.279
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_TOTAL,Total,2024,487.326
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_PART,Part-time,2024,305.872
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_FULL,Full-time,2024,181.453
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_TOTAL,Total,2024,5431.92
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_PART,Part-time,2024,594.375
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,JOB_TIME_FULL,Full-time,2024,4837.545
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_TOTAL,Total,2024,3190.894
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_PART,Part-time,2024,186.195
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,JOB_TIME_FULL,Full-time,2024,3004.699
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,JOB_TIME_TOTAL,Total,2024,2241.027
