REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,OCU,OCU_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,834.712
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,834.712
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_TOTAL,Total,2024,529.083
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,529.083
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_TOTAL,Total,2024,305.63
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,305.63
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_TOTAL,Total,2024,834.712
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_1,1. Managers,2024,8.594
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_2,2. Professionals,2024,484.267
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,341.851
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_TOTAL,Total,2024,529.083
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_1,1. Managers,2024,5.923
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_2,2. Professionals,2024,268.462
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2024,254.697
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_TOTAL,Total,2024,305.63
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_1,1. Managers,2024,2.67
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_2,2. Professionals,2024,215.805
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_3,3. Technicians and associate professionals,2024,87.154
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,1149.068
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,1149.068
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_TOTAL,Total,2024,661.742
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,661.742
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_TOTAL,Total,2024,487.326
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,487.326
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_TOTAL,Total,2024,1149.068
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_1,1. Managers,2024,5.758
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_2,2. Professionals,2024,700.76
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,442.55
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_TOTAL,Total,2024,661.742
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_1,1. Managers,2024,4.359
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_2,2. Professionals,2024,407.327
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2024,250.056
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_TOTAL,Total,2024,487.326
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_1,1. Managers,2024,1.399
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_2,2. Professionals,2024,293.433
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_3,3. Technicians and associate professionals,2024,192.494
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,5431.92
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,5431.92
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_TOTAL,Total,2024,3190.894
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,3190.894
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_TOTAL,Total,2024,2241.027
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,2241.027
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_TOTAL,Total,2024,5431.92
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_1,1. Managers,2024,40.882
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_2,2. Professionals,2024,3250.059
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,2140.979
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_TOTAL,Total,2024,3190.894
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_1,1. Managers,2024,27.036
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_2,2. Professionals,2024,1991.452
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2024,1172.405
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_TOTAL,Total,2024,2241.027
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_1,1. Managers,2024,13.846
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_2,2. Professionals,2024,1258.607
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_ISCO08_3,3. Technicians and associate professionals,2024,968.574
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,5705.457
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,5705.457
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_TOTAL,Total,2024,3295.264
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,3295.264
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_TOTAL,Total,2024,2410.194
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,2410.194
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_TOTAL,Total,2024,5705.457
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_1,1. Managers,2024,237.243
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_2,2. Professionals,2024,4032.63
GBR,United Kingdom of Great Britain and Northern Ireland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,1435.584
