REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,STE,STE_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2024,834.712
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2024,711.08
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2024,122.877
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2024,529.083
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2024,449.671
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2024,78.72
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2024,305.63
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2024,261.409
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2024,44.157
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_X,Workers not classifiable by status,2024,0.755
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_X,Workers not classifiable by status,2024,0.692
AUT,Austria,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_X,Workers not classifiable by status,2024,
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2024,1149.068
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_EES,Employees,2024,980.048
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_SLF,Self-employed,2024,169.02
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_TOTAL,Total,2024,661.742
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_EES,Employees,2024,561.018
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,STE_AGGREGATE_SLF,Self-employed,2024,100.724
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_TOTAL,Total,2024,487.326
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_EES,Employees,2024,419.03
CHE,Switzerland,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,STE_AGGREGATE_SLF,Self-employed,2024,68.296
FRA,France,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,STE_AGGREGATE_TOTAL,Total,2024,5431.92
