REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,OCU,OCU_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_SKILL_TOTAL,Total,2024,33.41
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,33.92
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_SKILL_L2,Skill level 2 ~ medium,2024,33.51
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_SKILL_L1,Skill level 1 ~ low,2024,29.37
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_SKILL_X,Not elsewhere classified,2024,42.85
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_SKILL_TOTAL,Total,2024,36.77
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,36.79
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_SKILL_L2,Skill level 2 ~ medium,2024,36.98
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_SKILL_L1,Skill level 1 ~ low,2024,34.35
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_SKILL_X,Not elsewhere classified,2024,42.97
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_F,Female,OCU_SKILL_TOTAL,Total,2024,29.46
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_F,Female,OCU_SKILL_L3-4,Skill levels 3 and 4 ~ high,2024,30.62
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_F,Female,OCU_SKILL_L2,Skill level 2 ~ medium,2024,29.07
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_F,Female,OCU_SKILL_L1,Skill level 1 ~ low,2024,25.65
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_F,Female,OCU_SKILL_X,Not elsewhere classified,2024,40.08
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_ISCO08_TOTAL,Total,2024,33.41
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_ISCO08_1,1. Managers,2024,39.28
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_ISCO08_2,2. Professionals,2024,32.97
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_ISCO08_3,3. Technicians and associate professionals,2024,33.53
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_ISCO08_4,4. Clerical support workers,2024,30.33
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_ISCO08_5,5. Service and sales workers,2024,30.82
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,41.58
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_ISCO08_7,7. Craft and related trades workers,2024,36.6
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,36.74
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_ISCO08_9,9. Elementary occupations,2024,29.37
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_T,Total,OCU_ISCO08_0,0. Armed forces occupations,2024,42.85
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_ISCO08_TOTAL,Total,2024,36.77
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_ISCO08_1,1. Managers,2024,41.02
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_ISCO08_2,2. Professionals,2024,35.64
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_ISCO08_3,3. Technicians and associate professionals,2024,36.61
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_ISCO08_4,4. Clerical support workers,2024,34.57
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_ISCO08_5,5. Service and sales workers,2024,35.47
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_ISCO08_6,"6. Skilled agricultural, forestry and fishery workers",2024,44.49
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_ISCO08_7,7. Craft and related trades workers,2024,37.06
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_ISCO08_8,"8. Plant and machine operators, and assemblers",2024,37.36
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_ISCO08_9,9. Elementary occupations,2024,34.35
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_M,Male,OCU_ISCO08_0,0. Armed forces occupations,2024,42.97
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_F,Female,OCU_ISCO08_TOTAL,Total,2024,29.46
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_F,Female,OCU_ISCO08_1,1. Managers,2024,36.15
AUT,Austria,A,Annual,HOW_TEMP_NB,Average weekly hours actually worked per employed person,SEX_F,Female,OCU_ISCO08_2,2. Professionals,2024,30.42
