REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MIG,MIG_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,1.803
AUT,Austria,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,3.192
AUT,Austria,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,0.069
BEL,Belgium,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,0.12
BEL,Belgium,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,0.2
BEL,Belgium,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2023,0.0
CHE,Switzerland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,1.36
DEU,Germany,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,0.69
DEU,Germany,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2021,0.94
DEU,Germany,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2021,1.06
DEU,Germany,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,1.23
DEU,Germany,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2021,1.53
DEU,Germany,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2021,1.85
DEU,Germany,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2022,0.11
DEU,Germany,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2021,0.05
DEU,Germany,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2021,0.18
