REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MIG,MIG_LABEL,TIME_PERIOD,VALUE
AUT,Austria,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,1.803
AUT,Austria,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,3.192
AUT,Austria,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,0.069
BEL,Belgium,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,0.12
BEL,Belgium,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,0.2
BEL,Belgium,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2023,0.0
CHE,Switzerland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,1.36
CHE,Switzerland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2016,1.97
CHE,Switzerland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,0.91
CHE,Switzerland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,1.24
CHE,Switzerland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,1.35
CHE,Switzerland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,1.08
CHE,Switzerland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,0.85
CHE,Switzerland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,1.4
CHE,Switzerland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1.13
DEU,Germany,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,0.71
DEU,Germany,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2021,0.94
DEU,Germany,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2021,1.06
DEU,Germany,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,1.23
DEU,Germany,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2021,1.53
DEU,Germany,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2021,1.85
DEU,Germany,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2022,0.11
DEU,Germany,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2021,0.05
DEU,Germany,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2021,0.18
ESP,Spain,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1.712
ESP,Spain,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,3.077
ESP,Spain,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2023,0.155
ESP,Spain,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2023,2.725
ESP,Spain,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2023,1.569
ESP,Spain,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2023,4.739
ESP,Spain,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2023,2.829
ESP,Spain,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2023,0.176
ESP,Spain,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2023,0.152
