job_title_original,SEX_F,SEX_M,male_count,female_count,total,male_pct,female_pct
Accountant,13962.684000000001,14602.574,14602.574,13962.684000000001,28565.258,0.5112004939706828,0.48879950602931715
Actor,10204.657000000001,7758.651,7758.651,10204.657000000001,17963.308,0.4319166046699193,0.5680833953300807
Actuary,6028.435,17801.755,17801.755,6028.435,23830.190000000002,0.7470253069740527,0.25297469302594733
Administrative Assistant,20151.768,17537.664,17537.664,20151.768,37689.432,0.4653204643678366,0.5346795356321634
Administrator,4231.763,13563.015,13563.015,4231.763,17794.778,0.7621907393281333,0.23780926067186678
Air Traffic Controller,3209.089,16974.898,16974.898,3209.089,20183.987,0.8410081714777164,0.15899182852228352
Animal Trainer,25348.244000000002,21338.161,21338.161,25348.244000000002,46686.405,0.4570529900513865,0.5429470099486136
Anthropologist,10204.657000000001,7758.651,7758.651,10204.657000000001,17963.308,0.4319166046699193,0.5680833953300807
Appraiser,20151.768,17537.664,17537.664,20151.768,37689.432,0.4653204643678366,0.5346795356321634
Archaeologist,10204.657000000001,7758.651,7758.651,10204.657000000001,17963.308,0.4319166046699193,0.5680833953300807
Architect,6028.435,17801.755,17801.755,6028.435,23830.190000000002,0.7470253069740527,0.25297469302594733
Archivist,10204.657000000001,7758.651,7758.651,10204.657000000001,17963.308,0.4319166046699193,0.5680833953300807
Art Director,10204.657000000001,7758.651,7758.651,10204.657000000001,17963.308,0.4319166046699193,0.5680833953300807
Artist,10204.657000000001,7758.651,7758.651,10204.657000000001,17963.308,0.4319166046699193,0.5680833953300807
Astronaut,3209.089,16974.898,16974.898,3209.089,20183.987,0.8410081714777164,0.15899182852228352
Astronomer,6028.435,17801.755,17801.755,6028.435,23830.190000000002,0.7470253069740527,0.25297469302594733
Athlete,5560.461,5426.0380000000005,5426.0380000000005,5560.461,10986.499,0.4938823550614259,0.5061176449385741
Audio Technician,1177.561,4160.421,4160.421,1177.561,5337.982,0.7793995933294643,0.2206004066705358
Auditor,13962.684000000001,14602.574,14602.574,13962.684000000001,28565.258,0.5112004939706828,0.48879950602931715
Automotive Designer,6028.435,17801.755,17801.755,6028.435,23830.190000000002,0.7470253069740527,0.25297469302594733
Baker,7699.058,12590.182999999999,12590.182999999999,7699.058,20289.240999999998,0.620534942632896,0.3794650573671041
Banker,7699.058,12590.182999999999,12590.182999999999,7699.058,20289.240999999998,0.620534942632896,0.3794650573671041
Bankruptcy Specialist,18001.983,6311.097,6311.097,18001.983,24313.08,0.25957620342630383,0.7404237965736961
Barber,25348.244000000002,21338.161,21338.161,25348.244000000002,46686.405,0.4570529900513865,0.5429470099486136
Barista,31379.146,34166.905,34166.905,31379.146,65546.051,0.5212656518391932,0.4787343481608068
Bartender,25348.244000000002,21338.161,21338.161,25348.244000000002,46686.405,0.4570529900513865,0.5429470099486136
Basketball player,5560.461,5426.0380000000005,5426.0380000000005,5560.461,10986.499,0.4938823550614259,0.5061176449385741
Biologist,6028.435,17801.755,17801.755,6028.435,23830.190000000002,0.7470253069740527,0.25297469302594733
Biomedical Engineer,6028.435,17801.755,17801.755,6028.435,23830.190000000002,0.7470253069740527,0.25297469302594733
Blacksmith,830.213,24249.347999999998,24249.347999999998,830.213,25079.560999999998,0.9668968288559756,0.03310317114402441
Bodyguard,2577.446,19039.432,19039.432,2577.446,21616.878,0.8807669636660761,0.11923303633392389
Bounty Hunter,5560.461,5426.0380000000005,5426.0380000000005,5560.461,10986.499,0.4938823550614259,0.5061176449385741
Boxer,5560.461,5426.0380000000005,5426.0380000000005,5560.461,10986.499,0.4938823550614259,0.5061176449385741
Brand Manager,1527.115,3930.676,3930.676,1527.115,5457.791,0.7201954050640634,0.2798045949359365
Brewer,9096.985999999999,18325.322,18325.322,9096.985999999999,27422.307999999997,0.6682632986253383,0.3317367013746618
Bricklayer,3010.5510000000004,28685.709,28685.709,3010.5510000000004,31696.26,0.9050187309165182,0.09498126908348178
Broker,12579.563,6978.675,6978.675,12579.563,19558.238,0.35681511800807414,0.6431848819919258
Builder,25348.244000000002,21338.161,21338.161,25348.244000000002,46686.405,0.4570529900513865,0.5429470099486136
Butcher,7699.058,12590.182999999999,12590.182999999999,7699.058,20289.240999999998,0.620534942632896,0.3794650573671041
CEO,1967.758,4248.055,4248.055,1967.758,6215.813,0.6834270915164276,0.31657290848357245
Carer,25348.244000000002,21338.161,21338.161,25348.244000000002,46686.405,0.4570529900513865,0.5429470099486136
Carpenter,3010.5510000000004,28685.709,28685.709,3010.5510000000004,31696.26,0.9050187309165182,0.09498126908348178
Cartographer,6028.435,17801.755,17801.755,6028.435,23830.190000000002,0.7470253069740527,0.25297469302594733
