REF_AREA,REF_AREA_LABEL,job_title_original,SEX_F,SEX_M,male_count,female_count,total,male_pct,female_pct
ARG,Argentina,Accountant,72.602,77.473,77.473,72.602,150.075,0.5162285523904715,0.4837714476095286
ARG,Argentina,Actor,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Actuary,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Administrative Assistant,162.177,192.573,192.573,162.177,354.75,0.5428414376321353,0.4571585623678647
ARG,Argentina,Administrator,10.471,56.741,56.741,10.471,67.212,0.8442093673748735,0.15579063262512646
ARG,Argentina,Air Traffic Controller,42.897,162.628,162.628,42.897,205.52499999999998,0.7912808660746868,0.20871913392531324
ARG,Argentina,Animal Trainer,248.54,173.697,173.697,248.54,422.23699999999997,0.4113732335157744,0.5886267664842257
ARG,Argentina,Anthropologist,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Appraiser,162.177,192.573,192.573,162.177,354.75,0.5428414376321353,0.4571585623678647
ARG,Argentina,Archaeologist,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Architect,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Archivist,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Art Director,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Artist,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Astronaut,42.897,162.628,162.628,42.897,205.52499999999998,0.7912808660746868,0.20871913392531324
ARG,Argentina,Astronomer,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Athlete,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Audio Technician,47.187,118.827,118.827,47.187,166.014,0.7157649354873685,0.2842350645126314
ARG,Argentina,Auditor,72.602,77.473,77.473,72.602,150.075,0.5162285523904715,0.4837714476095286
ARG,Argentina,Automotive Designer,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Baker,27.584,151.553,151.553,27.584,179.137,0.8460172940263597,0.15398270597364028
ARG,Argentina,Banker,27.584,151.553,151.553,27.584,179.137,0.8460172940263597,0.15398270597364028
ARG,Argentina,Bankruptcy Specialist,125.815,71.272,71.272,125.815,197.087,0.3616270986924557,0.6383729013075444
ARG,Argentina,Barber,248.54,173.697,173.697,248.54,422.23699999999997,0.4113732335157744,0.5886267664842257
ARG,Argentina,Barista,499.9,567.134,567.134,499.9,1067.034,0.5315050879353422,0.46849491206465765
ARG,Argentina,Bartender,248.54,173.697,173.697,248.54,422.23699999999997,0.4113732335157744,0.5886267664842257
ARG,Argentina,Basketball player,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Biologist,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Biomedical Engineer,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Blacksmith,6.282,203.537,203.537,6.282,209.81900000000002,0.9700599087785186,0.02994009122148137
ARG,Argentina,Bodyguard,86.829,284.114,284.114,86.829,370.943,0.7659236055135156,0.23407639448648443
ARG,Argentina,Bounty Hunter,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Boxer,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Brand Manager,0.647,12.093,12.093,0.647,12.74,0.9492150706436421,0.05078492935635793
ARG,Argentina,Brewer,50.229,166.986,166.986,50.229,217.21499999999997,0.7687590636005801,0.23124093639941995
ARG,Argentina,Bricklayer,8.632,385.099,385.099,8.632,393.731,0.9780764024168785,0.02192359758312147
ARG,Argentina,Broker,12.296,23.749,23.749,12.296,36.045,0.6588708558746011,0.3411291441253988
ARG,Argentina,Builder,248.54,173.697,173.697,248.54,422.23699999999997,0.4113732335157744,0.5886267664842257
ARG,Argentina,Butcher,27.584,151.553,151.553,27.584,179.137,0.8460172940263597,0.15398270597364028
ARG,Argentina,CEO,3.107,3.818,3.818,3.107,6.925000000000001,0.5513357400722021,0.4486642599277978
ARG,Argentina,Carer,248.54,173.697,173.697,248.54,422.23699999999997,0.4113732335157744,0.5886267664842257
ARG,Argentina,Carpenter,8.632,385.099,385.099,8.632,393.731,0.9780764024168785,0.02192359758312147
ARG,Argentina,Cartographer,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Cashier,12.296,23.749,23.749,12.296,36.045,0.6588708558746011,0.3411291441253988
ARG,Argentina,Chef,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Chemical Engineer,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Chemist,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Chiropractor,125.815,71.272,71.272,125.815,197.087,0.3616270986924557,0.6383729013075444
ARG,Argentina,Civil Engineer,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Claims Adjuster,203.454,201.168,201.168,203.454,404.622,0.4971751412429379,0.5028248587570622
ARG,Argentina,Cleaner,6.282,203.537,203.537,6.282,209.81900000000002,0.9700599087785186,0.02994009122148137
ARG,Argentina,Clerk,203.454,201.168,201.168,203.454,404.622,0.4971751412429379,0.5028248587570622
ARG,Argentina,Coach,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Comedian,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Compliance Officer,72.602,77.473,77.473,72.602,150.075,0.5162285523904715,0.4837714476095286
ARG,Argentina,Composer,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Conservation Officer,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Construction Worker,8.632,385.099,385.099,8.632,393.731,0.9780764024168785,0.02192359758312147
ARG,Argentina,Copywriter,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Court Reporter,162.177,192.573,192.573,162.177,354.75,0.5428414376321353,0.4571585623678647
ARG,Argentina,Crime Scene Investigator,42.897,162.628,162.628,42.897,205.52499999999998,0.7912808660746868,0.20871913392531324
ARG,Argentina,Customer Support Specialist,12.296,23.749,23.749,12.296,36.045,0.6588708558746011,0.3411291441253988
ARG,Argentina,DJ,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Dancer,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Data Scientist,10.471,56.741,56.741,10.471,67.212,0.8442093673748735,0.15579063262512646
ARG,Argentina,Database Administrator,10.471,56.741,56.741,10.471,67.212,0.8442093673748735,0.15579063262512646
ARG,Argentina,Debt Counselor,475.266,130.943,130.943,475.266,606.2090000000001,0.2160030616503549,0.783996938349645
ARG,Argentina,Dentist,125.815,71.272,71.272,125.815,197.087,0.3616270986924557,0.6383729013075444
ARG,Argentina,Detective,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Development Officer,47.187,118.827,118.827,47.187,166.014,0.7157649354873685,0.2842350645126314
ARG,Argentina,Dietitian,125.815,71.272,71.272,125.815,197.087,0.3616270986924557,0.6383729013075444
ARG,Argentina,Director,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Doctor,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Dog Walker,6.805,22.966,22.966,6.805,29.771,0.771421853481576,0.22857814651842395
ARG,Argentina,Draughtsperson,42.897,162.628,162.628,42.897,205.52499999999998,0.7912808660746868,0.20871913392531324
ARG,Argentina,Driver,6.282,203.537,203.537,6.282,209.81900000000002,0.9700599087785186,0.02994009122148137
ARG,Argentina,Economist,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Editor,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Electrician,0.0,10.926,10.926,0.0,10.926,1.0,0.0
ARG,Argentina,Emergency Management Specialist,125.815,71.272,71.272,125.815,197.087,0.3616270986924557,0.6383729013075444
ARG,Argentina,Entrepreneur,3.107,3.818,3.818,3.107,6.925000000000001,0.5513357400722021,0.4486642599277978
ARG,Argentina,Environmental Engineer,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Ergonomist,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Estate Planner,72.602,77.473,77.473,72.602,150.075,0.5162285523904715,0.4837714476095286
ARG,Argentina,Event Coordinator,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Executive Assistant,162.177,192.573,192.573,162.177,354.75,0.5428414376321353,0.4571585623678647
ARG,Argentina,Exterminator,27.584,151.553,151.553,27.584,179.137,0.8460172940263597,0.15398270597364028
ARG,Argentina,Farmer,8.632,385.099,385.099,8.632,393.731,0.9780764024168785,0.02192359758312147
ARG,Argentina,Fashion Designer,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Firefighter,86.829,284.114,284.114,86.829,370.943,0.7659236055135156,0.23407639448648443
ARG,Argentina,Fishmonger,27.584,151.553,151.553,27.584,179.137,0.8460172940263597,0.15398270597364028
ARG,Argentina,Flight Attendant,248.54,173.697,173.697,248.54,422.23699999999997,0.4113732335157744,0.5886267664842257
ARG,Argentina,Florist,499.9,567.134,567.134,499.9,1067.034,0.5315050879353422,0.46849491206465765
ARG,Argentina,Football player,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Forklift Operator,22.808,465.141,465.141,22.808,487.949,0.9532574100981865,0.04674258990181351
ARG,Argentina,Gardener,3.599,12.813,12.813,3.599,16.412,0.7807092371435536,0.21929076285644652
ARG,Argentina,Geologist,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Graphic Designer,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Grocer,499.9,567.134,567.134,499.9,1067.034,0.5315050879353422,0.46849491206465765
ARG,Argentina,Hair dresser,248.54,173.697,173.697,248.54,422.23699999999997,0.4113732335157744,0.5886267664842257
ARG,Argentina,Handyperson,6.805,22.966,22.966,6.805,29.771,0.771421853481576,0.22857814651842395
ARG,Argentina,Health Inspector,194.974,58.899,58.899,194.974,253.873,0.2320018276854963,0.7679981723145037
ARG,Argentina,Historian,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Hotel Concierge,12.296,23.749,23.749,12.296,36.045,0.6588708558746011,0.3411291441253988
ARG,Argentina,Hotel Manager,0.0,0.0,0.0,0.0,0.0,,
ARG,Argentina,Human Resources Specialist,72.602,77.473,77.473,72.602,150.075,0.5162285523904715,0.4837714476095286
ARG,Argentina,IT Support Specialist,10.471,56.741,56.741,10.471,67.212,0.8442093673748735,0.15579063262512646
ARG,Argentina,Illustrator,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Industrial Designer,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Insurance Underwriter,162.177,192.573,192.573,162.177,354.75,0.5428414376321353,0.4571585623678647
ARG,Argentina,Janitor,248.54,173.697,173.697,248.54,422.23699999999997,0.4113732335157744,0.5886267664842257
ARG,Argentina,Jeweller,0.647,12.093,12.093,0.647,12.74,0.9492150706436421,0.05078492935635793
ARG,Argentina,Journalist,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Judge,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Lawyer,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Librarian,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Lifeguard,86.829,284.114,284.114,86.829,370.943,0.7659236055135156,0.23407639448648443
ARG,Argentina,Loan Officer,162.177,192.573,192.573,162.177,354.75,0.5428414376321353,0.4571585623678647
ARG,Argentina,Logger,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Logistics Manager,64.901,92.554,92.554,64.901,157.45499999999998,0.5878123908418279,0.4121876091581722
ARG,Argentina,Magician,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Makeup Artist,248.54,173.697,173.697,248.54,422.23699999999997,0.4113732335157744,0.5886267664842257
ARG,Argentina,Marine Biologist,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Masseur,194.974,58.899,58.899,194.974,253.873,0.2320018276854963,0.7679981723145037
ARG,Argentina,Mathematician,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Mayor,3.107,3.818,3.818,3.107,6.925000000000001,0.5513357400722021,0.4486642599277978
ARG,Argentina,Mechanic,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Meteorologist,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Midwife,194.974,58.899,58.899,194.974,253.873,0.2320018276854963,0.7679981723145037
ARG,Argentina,Miner,50.229,166.986,166.986,50.229,217.21499999999997,0.7687590636005801,0.23124093639941995
ARG,Argentina,Model,499.9,567.134,567.134,499.9,1067.034,0.5315050879353422,0.46849491206465765
ARG,Argentina,Musician,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,News Reader,475.266,130.943,130.943,475.266,606.2090000000001,0.2160030616503549,0.783996938349645
ARG,Argentina,Nurse,125.815,71.272,71.272,125.815,197.087,0.3616270986924557,0.6383729013075444
ARG,Argentina,Nutritionist,125.815,71.272,71.272,125.815,197.087,0.3616270986924557,0.6383729013075444
ARG,Argentina,Oceanographer,194.974,58.899,58.899,194.974,253.873,0.2320018276854963,0.7679981723145037
ARG,Argentina,Office Assistant,194.974,58.899,58.899,194.974,253.873,0.2320018276854963,0.7679981723145037
ARG,Argentina,Operations Manager,64.901,92.554,92.554,64.901,157.45499999999998,0.5878123908418279,0.4121876091581722
ARG,Argentina,Optician,3.107,3.818,3.818,3.107,6.925000000000001,0.5513357400722021,0.4486642599277978
ARG,Argentina,Painter,0.647,12.093,12.093,0.647,12.74,0.9492150706436421,0.05078492935635793
ARG,Argentina,Paralegal,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Paramedic,194.974,58.899,58.899,194.974,253.873,0.2320018276854963,0.7679981723145037
ARG,Argentina,Park Ranger,8.632,385.099,385.099,8.632,393.731,0.9780764024168785,0.02192359758312147
ARG,Argentina,Payroll Specialist,72.602,77.473,77.473,72.602,150.075,0.5162285523904715,0.4837714476095286
ARG,Argentina,Personal Trainer,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Pharmacist,125.815,71.272,71.272,125.815,197.087,0.3616270986924557,0.6383729013075444
ARG,Argentina,Photographer,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Physicist,13.476,37.554,37.554,13.476,51.03,0.7359200470311582,0.26407995296884185
ARG,Argentina,Pilot,42.897,162.628,162.628,42.897,205.52499999999998,0.7912808660746868,0.20871913392531324
ARG,Argentina,Plumber,8.632,385.099,385.099,8.632,393.731,0.9780764024168785,0.02192359758312147
ARG,Argentina,Police Officer,86.829,284.114,284.114,86.829,370.943,0.7659236055135156,0.23407639448648443
ARG,Argentina,Politician,3.107,3.818,3.818,3.107,6.925000000000001,0.5513357400722021,0.4486642599277978
ARG,Argentina,Postal Worker,37.246,53.873,53.873,37.246,91.119,0.591237831846267,0.40876216815373306
ARG,Argentina,Priest,15.609,19.48,19.48,15.609,35.089,0.5551597366696116,0.44484026333038845
ARG,Argentina,Procurement Officer,162.177,192.573,192.573,162.177,354.75,0.5428414376321353,0.4571585623678647
ARG,Argentina,Professor,475.266,130.943,130.943,475.266,606.2090000000001,0.2160030616503549,0.783996938349645
ARG,Argentina,Property Manager,64.901,92.554,92.554,64.901,157.45499999999998,0.5878123908418279,0.4121876091581722
