job_title,matched_title,isco_code,isco_1,isco_1_name,isco_2,isco_3,isco_4,similarity_score,match_type,alt_1_title,alt_1_code,alt_1_score
Actor,Actor,2655,2,Professionals,26,265,2655,1.0,exact,,,
Actuary,Actuary,2120,2,Professionals,21,212,2120,1.0,exact,,,
Administrative Assistant,Administrative legal assistant,3342,3,Technicians and associate professionals,33,334,3342,0.889,fuzzy,Administrative medical office assistant,3344,0.762
Administrator,Wan administrator,2522,2,Professionals,25,252,2522,0.867,fuzzy,City administrator,1112,0.839
Air Traffic Controller,Air traffic controller,3154,3,Technicians and associate professionals,31,315,3154,1.0,exact,,,
Animal Trainer,Animal trainer,5164,5,Service and sales workers,51,516,5164,1.0,exact,,,
Anthropologist,Anthropologist,2632,2,Professionals,26,263,2632,1.0,exact,,,
Appraiser,Appraiser damage,3315,3,Technicians and associate professionals,33,331,3315,0.72,fuzzy,Barrister,2611,0.667
Archaeologist,Archaeologist,2632,2,Professionals,26,263,2632,1.0,exact,,,
Architect,Architect,2161,2,Professionals,21,216,2161,1.0,exact,,,
Archivist,Archivist,2621,2,Professionals,26,262,2621,1.0,exact,,,
Art Director,Artistic director,2654,2,Professionals,26,265,2654,0.828,fuzzy,Casting director,2654,0.786
Artist,Artist,2655,2,Professionals,26,265,2655,1.0,exact,,,
Astronaut,Astronaut,3153,3,Technicians and associate professionals,31,315,3153,1.0,exact,,,
Astronomer,Astronomer,2111,2,Professionals,21,211,2111,1.0,exact,,,
Athlete,Athlete,3421,3,Technicians and associate professionals,34,342,3421,1.0,exact,,,
Audio Technician,Dairy technician,3142,3,Technicians and associate professionals,31,314,3142,0.812,fuzzy,Video technician,3521,0.812
Auditor,Auditor,2411,2,Professionals,24,241,2411,1.0,exact,,,
Automotive Designer,Automotive engineer,2144,2,Professionals,21,214,2144,0.842,fuzzy,Automotive body repairer,7213,0.744
Baker,Baker,7512,7,Craft and related trades workers,75,751,7512,1.0,exact,,,
Banker,Baker,7512,7,Craft and related trades workers,75,751,7512,0.909,fuzzy,Bank clerk,4110,0.75
Bankruptcy Specialist,Optical specialist,2212,2,Professionals,22,221,2212,0.718,fuzzy,Skin specialist,2212,0.667
