race,mst_label,count,pct
subject_0,1,35,92.11
subject_0,2,3,7.89
subject_1,1,56,94.92
subject_1,2,3,5.08
subject_10,1,53,100.0
subject_11,1,91,97.85
subject_11,2,2,2.15
subject_12,1,110,100.0
subject_13,1,47,83.93
subject_13,2,9,16.07
subject_14,1,72,100.0
subject_15,1,47,97.92
subject_15,2,1,2.08
subject_16,1,74,90.24
subject_16,2,8,9.76
subject_17,1,57,100.0
subject_18,1,68,73.91
subject_18,2,24,26.09
subject_2,1,71,97.26
subject_2,2,2,2.74
subject_3,1,82,100.0
subject_4,1,70,100.0
subject_5,1,65,100.0
subject_6,1,73,100.0
subject_7,1,86,92.47
subject_7,2,7,7.53
subject_8,1,79,95.18
subject_8,2,4,4.82
subject_9,1,86,100.0
