profession,normalized_profession,matched,bls_occupation,match_method,mapping_source,match_score,total_employed_2024,pct_women,pct_white,pct_black,pct_asian,pct_hispanic
Accountant,Accountant,True,Accountants and auditors,exact,automatic,100,1778.0,57.2,75.6,9.8,11.8,11.1
Actor,Actor,True,"Title examiners, abstractors, and searchers",exact,automatic,100,93.0,75.3,83.4,7.7,6.7,7.0
Actuary,Actuary,True,Actuaries,manual,manual,100,36.0,,,,,
Administrative Assistant,Administrative Assistant,True,Executive secretaries and executive administrative assistants,exact,automatic,100,234.0,95.6,70.2,19.3,5.7,18.7
Administrator,Administrator,True,Education and childcare administrators,exact,automatic,100,1006.0,66.2,78.0,16.0,3.5,10.3
Air Traffic Controller,Air Traffic Controller,True,Air traffic controllers and airfield operations specialists,exact,automatic,100,35.0,,,,,
Animal Trainer,Animal Trainer,True,Animal trainers,exact,automatic,100,63.0,82.3,81.6,8.2,3.0,13.8
Anthropologist,Anthropologist,True,Miscellaneous social scientists and related workers,manual,manual,100,38.0,,,,,
Appraiser,Appraiser,True,"Claims adjusters, appraisers, examiners, and investigators",exact,automatic,100,382.0,57.1,72.8,20.9,4.3,10.0
Archaeologist,Archaeologist,True,Miscellaneous social scientists and related workers,manual,manual,100,38.0,,,,,
Architect,Architect,True,Architectural and engineering managers,exact,automatic,100,201.0,10.6,75.8,5.2,17.5,8.1
Archivist,Archivist,True,"Archivists, curators, and museum technicians",exact,automatic,100,77.0,55.6,90.2,5.7,2.3,8.8
Art Director,Art Director,True,Artists and related workers,manual,manual,100,318.0,53.8,78.9,10.3,6.0,14.3
Artist,Artist,True,"Agents and business managers of artists, performers, and athletes",exact,automatic,100,42.0,,,,,
Astronaut,Astronaut,True,Aircraft pilots and flight engineers,manual,manual,100,213.0,9.6,88.3,4.4,2.7,8.3
Astronomer,Astronomer,True,Astronomers and physicists,exact,automatic,100,23.0,,,,,
Athlete,Athlete,True,"Agents and business managers of artists, performers, and athletes",exact,automatic,100,42.0,,,,,
Audio Technician,Audio Technician,True,"Broadcast, sound, and lighting technicians",manual,manual,100,117.0,9.2,79.8,11.5,2.8,18.1
Auditor,Auditor,True,Accountants and auditors,exact,automatic,100,1778.0,57.2,75.6,9.8,11.8,11.1
Automotive Designer,Automotive Designer,True,Commercial and industrial designers,manual,manual,100,16.0,,,,,
Baker,Baker,True,Bakers,exact,automatic,100,243.0,67.1,84.0,8.6,4.6,33.9
Banker,Banker,True,Financial managers,manual,manual,100,1445.0,53.4,77.4,10.2,9.5,10.6
Bankruptcy Specialist,Bankruptcy Specialist,True,Lawyers,manual,manual,100,1146.0,42.0,85.0,7.0,6.3,6.5
Barber,Barber,True,Barbers,exact,automatic,100,144.0,21.1,62.2,32.1,4.5,36.6
Barista,Barista,True,Fast food and counter workers,manual,manual,100,831.0,66.6,74.7,13.9,5.2,22.8
Bartender,Bartender,True,Bartenders,exact,automatic,100,450.0,54.3,83.9,8.2,2.0,21.5
Basketball player,athlete,True,"Agents and business managers of artists, performers, and athletes",exact,automatic,100,42.0,,,,,
Biologist,Biologist,True,Biological scientists,manual,manual,100,105.0,54.7,80.8,3.3,10.7,5.4
Biomedical Engineer,Biomedical Engineer,True,Bioengineers and biomedical engineers,exact,automatic,100,25.0,,,,,
Blacksmith,Blacksmith,True,Other metal workers and plastic workers,manual,manual,100,305.0,20.3,76.1,11.9,7.6,22.4
Bodyguard,Bodyguard,True,Other protective service workers,manual,manual,100,185.0,50.3,82.3,5.9,2.9,17.9
Bounty Hunter,Bounty Hunter,True,Private detectives and investigators,manual,manual,100,126.0,42.9,71.9,21.8,2.7,12.1
Boxer,Boxer,True,Athletes and sports competitors,manual,manual,100,23.0,,,,,
Brand Manager,Brand Manager,True,Marketing managers,manual,manual,100,513.0,64.2,82.6,4.4,9.0,10.4
Brewer,Brewer,True,"Food processing workers, all other",manual,manual,100,133.0,32.3,70.0,15.1,8.4,39.4
Bricklayer,Bricklayer,True,"Brickmasons, blockmasons, and stonemasons",manual,manual,100,128.0,2.9,86.2,3.5,1.7,45.8
Broker,Broker,True,Real estate brokers and sales agents,exact,automatic,100,1016.0,56.7,82.3,9.7,6.0,12.7
Builder,Builder,True,Tire builders,exact,automatic,100,7.0,,,,,
Butcher,Butcher,True,"Butchers and other meat, poultry, and fish processing workers",exact,automatic,100,239.0,20.0,65.5,21.4,6.3,30.1
CEO,chief executive,True,Chief executives,exact,automatic,100,1728.0,33.0,86.0,6.1,6.4,6.1
Carer,personal care aide,True,Personal care aides,exact,automatic,100,1667.0,81.0,58.7,28.5,7.5,22.1
Carpenter,Carpenter,True,Carpenters,exact,automatic,100,1279.0,4.2,86.5,6.6,1.2,41.4
Cartographer,Cartographer,True,"Surveyors, cartographers, and photogrammetrists",exact,automatic,100,48.0,,,,,
Cashier,Cashier,True,Cashiers,exact,automatic,100,2569.0,68.9,70.3,16.1,7.9,23.6
Chef,Chef,True,Chefs and head cooks,exact,automatic,100,515.0,21.6,57.2,17.7,18.3,25.1
Chemical Engineer,Chemical Engineer,True,Chemical engineers,exact,automatic,100,79.0,20.8,83.2,2.0,12.0,4.6
Chemist,Chemist,True,Chemists and materials scientists,exact,automatic,100,87.0,46.3,74.8,7.0,16.6,11.4
Chiropractor,Chiropractor,True,Chiropractors,exact,automatic,100,55.0,31.2,88.5,1.8,6.8,1.8
Civil Engineer,Civil Engineer,True,Civil engineers,exact,automatic,100,523.0,17.2,79.7,7.1,10.4,13.0
