race,mst_label,count,pct
subject_0,2,17,44.74
subject_0,3,14,36.84
subject_0,4,6,15.79
subject_0,1,1,2.63
subject_1,2,34,57.63
subject_1,3,18,30.51
subject_1,1,6,10.17
subject_1,4,1,1.69
subject_10,4,30,56.6
subject_10,3,16,30.19
subject_10,2,5,9.43
subject_10,5,2,3.77
subject_11,3,44,47.31
subject_11,2,25,26.88
subject_11,4,14,15.05
subject_11,1,10,10.75
subject_12,4,65,59.09
subject_12,3,26,23.64
subject_12,2,10,9.09
subject_12,5,6,5.45
subject_12,1,3,2.73
subject_13,2,31,55.36
subject_13,1,20,35.71
subject_13,3,4,7.14
subject_13,4,1,1.79
subject_14,3,31,43.06
subject_14,2,25,34.72
subject_14,4,15,20.83
subject_14,1,1,1.39
subject_15,3,19,39.58
subject_15,2,16,33.33
subject_15,4,11,22.92
subject_15,1,2,4.17
subject_16,2,59,71.95
subject_16,1,17,20.73
subject_16,3,6,7.32
subject_17,4,46,80.7
subject_17,2,4,7.02
subject_17,5,4,7.02
subject_17,3,3,5.26
subject_18,2,38,41.3
subject_18,3,25,27.17
subject_18,1,13,14.13
subject_18,4,13,14.13
subject_18,5,3,3.26
subject_2,4,52,71.23
subject_2,3,11,15.07
subject_2,5,7,9.59
subject_2,1,2,2.74
subject_2,2,1,1.37
subject_3,4,40,48.78
subject_3,3,22,26.83
subject_3,2,15,18.29
subject_3,5,5,6.1
subject_4,4,43,61.43
subject_4,3,16,22.86
subject_4,2,6,8.57
subject_4,1,3,4.29
subject_4,5,2,2.86
subject_5,3,32,49.23
subject_5,4,28,43.08
subject_5,2,5,7.69
subject_6,3,37,50.68
subject_6,2,32,43.84
subject_6,4,4,5.48
subject_7,2,46,49.46
subject_7,3,35,37.63
subject_7,4,12,12.9
subject_8,2,47,56.63
subject_8,3,20,24.1
subject_8,1,11,13.25
subject_8,4,5,6.02
subject_9,2,48,55.81
subject_9,3,25,29.07
subject_9,4,13,15.12
