race,mst_label,count,pct
Black,3,6026,48.34
Black,4,4536,36.38
Black,5,1086,8.71
Black,2,569,4.56
Black,1,250,2.01
East Asian,3,7939,62.71
East Asian,2,2947,23.28
East Asian,1,956,7.55
East Asian,4,793,6.26
East Asian,5,25,0.2
Indian,3,8835,70.01
Indian,4,1932,15.31
Indian,2,1221,9.68
Indian,1,464,3.68
Indian,5,168,1.33
Latino_Hispanic,3,8460,62.03
Latino_Hispanic,2,2827,20.73
Latino_Hispanic,4,1446,10.6
Latino_Hispanic,1,841,6.17
Latino_Hispanic,5,64,0.47
Middle Eastern,3,4932,54.55
Middle Eastern,2,2465,27.26
Middle Eastern,1,1028,11.37
Middle Eastern,4,580,6.42
Middle Eastern,5,36,0.4
Southeast Asian,3,7664,67.43
Southeast Asian,2,1723,15.16
Southeast Asian,4,1414,12.44
Southeast Asian,1,516,4.54
Southeast Asian,5,49,0.43
White,3,6967,43.01
White,2,5429,33.52
White,1,2780,17.16
White,4,978,6.04
White,5,43,0.27
